OC-AK-Ko,
W,R
0.847,0.1123085
0.848,0.1059883
0.849,0.1103975
0.85,0.1106568
0.851,0.1095913
0.852,0.1000119
0.853,0.1098637
0.854,0.1097486
0.855,
0.856,
0.857,0.1025534
0.858,0.1029667
0.859,0.1031052
0.86,0.1050893
0.861,0.1024587
0.862,0.1020169
0.863,0.1026603
0.864,0.1042962
0.865,0.1016871
0.866,0.1022175
0.867,0.1025789
0.868,0.1029107
0.869,0.1016321
0.87,0.1020638
0.871,0.1023162
0.872,0.1024425
0.873,0.1009297
0.874,0.1031958
0.875,0.102416
0.876,0.1024119
0.877,0.1015904
0.878,0.1018103
0.879,0.102699
0.88,0.1002599
0.881,0.1023773
0.882,0.1016637
0.883,0.1006864
0.884,0.1022042
0.885,0.1016423
0.886,0.1008177
0.887,0.1013817
0.888,0.1021666
0.889,0.1008269
0.89,0.1008747
0.891,0.0998781
0.892,0.1005113
0.893,0.1014438
0.894,0.1010335
0.895,0.10117
0.896,0.1009032
0.897,0.1012005
0.898,0.1010987
0.899,0.1010346
0.9,0.1013237
0.901,0.1002721
0.902,0.1008096
0.903,0.1006121
0.904,0.1009877
0.905,0.1009114
0.906,0.1007699
0.907,0.1011862
0.908,0.1008259
0.909,0.1004217
0.91,0.1005388
0.911,0.1005469
0.912,0.1005083
0.913,0.1013257
0.914,0.1005083
0.915,0.1007475
0.916,0.1003942
0.917,0.1003342
0.918,0.100663
0.919,0.1005907
0.92,0.1007098
0.921,0.1002517
0.922,0.1003046
0.923,0.1005032
0.924,0.1002741
0.925,0.1005347
0.926,0.1007577
0.927,0.1003209
0.928,0.1005602
0.929,0.1009857
0.93,0.1005174
0.931,0.1003545
0.932,0.1002639
0.933,0.0992622
0.934,0.0986178
0.935,0.0988092
0.936,0.0987176
0.937,0.098627
0.938,0.0979683
0.939,0.0983593
0.94,0.0981994
0.941,0.0982228
0.942,0.0983379
0.943,0.0984529
0.944,0.0986168
0.945,0.0986789
0.946,0.0984448
0.947,0.0989762
0.948,0.0988387
0.949,0.0992297
0.95,0.0992317
0.951,0.0992826
0.952,0.0996623
0.953,0.0997244
0.954,0.1000797
0.955,0.1004217
0.956,0.1002283
0.957,0.100438
0.958,0.1006742
0.959,0.1012952
0.96,0.1008065
0.961,0.1007699
0.962,0.1012402
0.963,0.101344
0.964,0.1010967
0.965,0.1013664
0.966,0.1019253
0.967,0.1020037
0.968,0.101679
0.969,0.1017909
0.97,0.102699
0.971,0.1022877
0.972,0.1022796
0.973,0.1024547
0.974,0.1029189
0.975,0.1031154
0.976,0.1032446
0.977,0.1031703
0.978,0.1032894
0.979,0.1028894
0.98,0.1035735
0.981,0.1035857
0.982,0.103207
0.983,0.1038198
0.984,0.1039399
0.985,0.1038982
0.986,0.1035745
0.987,0.1043614
0.988,0.1045131
0.989,0.1038137
0.99,0.1045731
0.991,0.1042433
0.992,0.1045915
0.993,0.1048185
0.994,0.1045548
0.995,0.1045507
0.996,0.1051096
0.997,0.1054873
0.998,0.1053254
0.999,0.1054079
1,0.1051768
1.001,0.1051552
1.002,0.1058298
1.003,0.105273
1.004,0.1053558
1.005,0.1059561
1.006,0.1055526
1.007,0.1059601
1.008,0.10689
1.009,0.1065598
1.01,0.1061905
1.011,0.106138
1.012,0.1060334
1.013,0.1058513
1.014,0.1065638
1.015,0.1064823
1.016,0.1065863
1.017,0.1068504
1.018,0.1073591
1.019,0.1067443
1.02,0.1066364
1.021,0.1070255
1.022,0.1073361
1.023,0.107259
1.024,0.107216
1.025,0.1071343
1.026,0.1075101
1.027,0.1074934
1.028,0.1073427
1.029,0.1072188
1.03,0.1076152
1.031,0.1077819
1.032,0.1073867
1.033,0.1080471
1.034,0.1076389
1.035,0.1076185
1.036,0.108211
1.037,0.1079207
1.038,0.1077952
1.039,0.1079068
1.04,0.1083349
1.041,0.1075906
1.042,0.1082937
1.043,0.1079191
1.044,0.1085921
1.045,0.1083585
1.046,0.1084469
1.047,0.1078517
1.048,0.1088686
1.049,0.1089339
1.05,0.1090305
1.051,0.1084298
1.052,0.1091023
1.053,0.1092099
1.054,0.1086638
1.055,0.1094565
1.056,0.1090068
1.057,0.109226
1.058,0.1094807
1.059,0.1093587
1.06,0.109332
1.061,0.1096636
1.062,0.1100379
1.063,0.1090005
1.064,0.1099544
1.065,0.1098567
1.066,0.1093651
1.067,0.1101142
1.068,0.1098213
1.069,0.1094215
1.07,0.1096939
1.071,0.1099182
1.072,0.1102681
1.073,0.1102461
1.074,0.1100229
1.075,0.1104538
1.076,0.1103084
1.077,0.1101477
1.078,0.1106586
1.079,0.1104721
1.08,0.1107009
1.081,0.1106886
1.082,0.1107288
1.083,0.1110414
1.084,0.1109148
1.085,0.1110734
1.086,0.1116114
1.087,0.111426
1.088,0.1106139
1.089,0.1112488
1.09,0.1114916
1.091,0.1113151
1.092,0.1114428
1.093,0.1118014
1.094,0.1121562
1.095,0.1120606
1.096,0.1121013
1.097,0.1124079
1.098,0.1126512
1.099,0.112267
1.1,0.1116536
1.101,0.1123296
1.102,0.1128078
1.103,0.1130238
1.104,0.1132293
1.105,0.1130417
1.106,0.1122192
1.107,0.1124335
1.108,0.1123393
1.109,0.1135832
1.11,0.1132815
1.111,0.1133721
1.112,0.1137941
1.113,0.1135068
1.114,0.1139206
1.115,0.1137077
1.116,0.1139706
1.117,0.1137845
1.118,0.1137031
1.119,0.1138766
1.12,0.1142073
1.121,0.1136274
1.122,0.1139832
1.123,0.1145186
1.124,0.1146555
1.125,0.1141562
1.126,0.1140242
1.127,0.1145426
1.128,0.1146306
1.129,0.1143298
1.13,0.1145386
1.131,0.1146478
1.132,0.1149311
1.133,0.1144768
1.134,0.1147775
1.135,0.1150196
1.136,0.1152158
1.137,0.1154811
1.138,0.1151923
1.139,0.1151958
1.14,0.1152963
1.141,0.1151018
1.142,0.1156247
1.143,0.1153735
1.144,0.1151289
1.145,0.1153734
1.146,0.1158558
1.147,0.1160162
1.148,0.1155709
1.149,0.1157072
1.15,0.1153258
1.151,0.1155359
1.152,0.1161587
1.153,0.115907
1.154,0.1161991
1.155,0.1162666
1.156,0.1162673
1.157,0.1160963
1.158,0.1156974
1.159,0.115852
1.16,0.1164999
1.161,0.1164916
1.162,0.1166035
1.163,0.1166268
1.164,0.1169178
1.165,0.1166544
1.166,0.1164178
1.167,0.1170968
1.168,0.1171525
1.169,0.1170117
1.17,0.1165835
1.171,0.1169322
1.172,0.1166555
1.173,0.1170533
1.174,0.1168759
1.175,0.1169968
1.176,0.116849
1.177,0.1174521
1.178,0.1170974
1.179,0.1171965
1.18,0.1171863
1.181,0.1177979
1.182,0.1175129
1.183,0.116936
1.184,0.1169388
1.185,0.1159925
1.186,0.1153699
1.187,0.1171772
1.188,0.1178719
1.189,0.1173604
1.19,0.1175917
1.191,0.1176433
1.192,0.1176888
1.193,0.1177354
1.194,0.1178921
1.195,0.1177474
1.196,0.1177795
1.197,0.1179242
1.198,0.1179325
1.199,0.117848
1.2,0.1179666
1.201,0.1177877
1.202,0.1179464
1.203,0.1184037
1.204,0.1179572
1.205,0.1183918
1.206,0.1180179
1.207,0.1183665
1.208,0.1185987
1.209,0.118562
1.21,0.1181417
1.211,0.1184855
1.212,0.1184229
1.213,0.1183715
1.214,0.118597
1.215,0.1185055
1.216,0.1186434
1.217,0.1191304
1.218,0.1185139
1.219,0.1186504
1.22,0.1187585
1.221,0.1187959
1.222,0.1185604
1.223,0.119008
1.224,0.118254
1.225,0.1190587
1.226,0.1188466
1.227,0.118673
1.228,0.1187702
1.229,0.1190919
1.23,0.1189051
1.231,0.118952
1.232,0.1188472
1.233,0.119022
1.234,0.1188363
1.235,0.1188922
1.236,0.1192205
1.237,0.1193136
1.238,0.1188179
1.239,0.1197625
1.24,0.1192555
1.241,0.1192248
1.242,0.1194573
1.243,0.1195977
1.244,0.1197765
1.245,0.1191602
1.246,0.1194674
1.247,0.1195365
1.248,0.119484
1.249,0.1195118
1.25,0.1198445
1.251,0.1194316
1.252,0.1193417
1.253,0.1204286
1.254,0.1202882
1.255,0.1202901
1.256,0.1198642
1.257,0.1194923
1.258,0.1193839
1.259,0.119491
1.26,0.1197785
1.261,0.1196675
1.262,0.1199184
1.263,0.1201845
1.264,0.1198529
1.265,0.1198909
1.266,0.1200816
1.267,0.1197643
1.268,0.1203915
1.269,0.1203171
1.27,0.1200821
1.271,0.1201837
1.272,0.1203052
1.273,0.1205257
1.274,0.1207289
1.275,0.1205094
1.276,0.1198445
1.277,0.1205163
1.278,0.1206768
1.279,0.1204882
1.28,0.1203665
1.281,0.1205381
1.282,0.1207677
1.283,0.1206187
1.284,0.1208263
1.285,0.1209355
1.286,0.1208013
1.287,0.1212295
1.288,0.1211829
1.289,0.1207695
1.29,0.1206855
1.291,0.1207339
1.292,0.1212706
1.293,0.1206752
1.294,0.1211443
1.295,0.1213146
1.296,0.1208179
1.297,0.1216608
1.298,0.121833
1.299,0.121504
1.3,0.121
1.301,0.1212919
1.302,0.1209632
1.303,0.1212346
1.304,0.1219303
1.305,0.1216651
1.306,0.1218604
1.307,0.1221898
1.308,0.1208476
1.309,0.1215395
1.31,0.1217672
1.311,0.1216253
1.312,0.1217807
1.313,0.1218086
1.314,0.1226209
1.315,0.1216903
1.316,0.1214834
1.317,0.1214457
1.318,0.1221494
1.319,0.1222755
1.32,0.1219182
1.321,0.1226096
1.322,0.1220833
1.323,0.1218357
1.324,0.1228871
1.325,0.122373
1.326,0.1224833
1.327,0.1227972
1.328,0.1222774
1.329,0.1219291
