TJ_OPX_1,
W,R
0.928547802,0.426184081
0.930361236,0.427242959
0.933799863,0.428340341
0.935870863,0.429802982
0.937946455,0.431265624
0.940026652,0.432728265
0.941416274,0.43382521
0.944661156,0.434951805
0.94536657,0.437461292
0.945595895,0.436384941
0.947695043,0.43876146
0.948176862,0.43984881
0.94909998,0.44168616
0.950997109,0.44297077
0.952610661,0.444062971
0.953118167,0.445480549
0.954725781,0.446622266
0.956519232,0.448370053
0.956845597,0.44918156
0.958966904,0.450278651
0.959507071,0.451785818
0.961806662,0.453569193
0.961811097,0.455579724
0.962359804,0.454356947
0.96323252,0.456493893
0.964507557,0.45747876
0.96608248,0.458687783
0.967374342,0.459682668
0.968940873,0.460881672
0.970249648,0.461886577
0.97025455,0.4640899
0.970375273,0.462892494
0.973246775,0.465269159
0.973859081,0.466110344
0.976029211,0.467763275
0.976130457,0.469290804
0.976135367,0.47148411
0.976613663,0.47040738
0.977579188,0.472946606
0.978938485,0.473639389
0.980469952,0.474409393
0.982575278,0.475659833
0.983372563,0.477334385
0.984766489,0.478047206
0.98477105,0.480066919
0.987700559,0.483372488
0.98774177,0.481356321
0.989201929,0.482453265
0.990667569,0.485012414
0.99066923,0.485743517
0.991225722,0.486568009
0.993600785,0.488120181
0.994321135,0.489616554
0.997276954,0.492004073
0.998012927,0.491045464
0.999491203,0.493421838
0.999502214,0.494942276
0.999507264,0.497145599
1.000972507,0.496163762
1.002456848,0.499271238
1.002478078,0.499349507
1.005457157,0.501308602
1.006208252,0.503940495
1.00690916,0.502562072
1.008401035,0.505121221
1.009199833,0.506511624
1.011387181,0.508411763
1.012202013,0.509817194
1.014381745,0.51151953
1.014459579,0.512326973
1.018887447,0.51499314
1.020491604,0.513552212
1.020497477,0.516061552
1.022656698,0.517552726
1.024140212,0.519477405
1.024929062,0.520843123
1.027338757,0.522672838
1.027963291,0.523768114
1.029630372,0.525305024
1.030246583,0.52669296
1.032692314,0.52818217
1.035583878,0.529252837
1.038834065,0.52995824
1.039413587,0.531264096
1.039610093,0.532590133
1.041721002,0.533640616
1.042700982,0.535161262
1.046347264,0.536748674
1.048128855,0.53828366
1.050993189,0.539491181
1.051244186,0.540487569
1.054101927,0.541319519
1.054368776,0.542691477
1.057221633,0.543878959
1.058286685,0.545079142
1.061432208,0.54728305
1.061914952,0.546255916
1.064272318,0.548632435
1.067747731,0.550221985
1.068997385,0.551192166
1.070922276,0.552793114
1.074537234,0.554483146
1.07713514,0.555915629
1.080901581,0.55740872
1.083544096,0.558854564
1.087303624,0.560334294
1.090152211,0.561609918
1.092130028,0.562528474
1.092583939,0.564242104
1.096169771,0.564905285
1.09989628,0.566018319
1.101849049,0.567647938
1.102349745,0.568650505
1.105924279,0.569841972
1.109563529,0.570610302
1.112472662,0.572036444
1.115504701,0.57373273
1.118235937,0.574596321
1.122140066,0.575937224
1.126517242,0.576791084
1.129483517,0.577958224
1.13318756,0.578985556
1.135530394,0.580713431
1.139059583,0.58209376
1.14228584,0.583285145
1.144959155,0.584105311
1.149761128,0.585306146
1.155141531,0.586665916
1.156602209,0.58824508
1.161125857,0.589225793
1.166244526,0.591000873
1.169725771,0.591786108
1.173181707,0.593205366
1.179259559,0.594712119
1.180860176,0.595593587
1.18449464,0.597089075
1.190705729,0.5987166
1.195910579,0.599832601
1.198497883,0.600737601
1.203879126,0.602027219
1.209206302,0.60367712
1.214586509,0.604953375
1.220010399,0.60661664
1.225389638,0.608062307
1.23091103,0.60955616
1.236285745,0.610074586
1.241905709,0.611320574
1.247280309,0.612635191
1.248553616,0.613782005
1.253741444,0.615012293
1.256725394,0.616170226
1.262097443,0.617938013
1.268141384,0.618926165
1.273319954,0.619950292
1.278521469,0.620763877
1.282748687,0.621779504
1.286888303,0.622784877
1.29129585,0.623974121
1.297615691,0.625173449
1.300858236,0.625986108
1.30610748,0.627194449
1.313393463,0.627998533
1.317775157,0.629399528
1.323120597,0.630376071
1.329547063,0.631604607
1.335871468,0.632754047
1.341423451,0.633589353
1.344771469,0.634583113
1.35360524,0.635188547
1.365694921,0.636659185
1.37687032,0.63748704
1.382988972,0.636416403
1.389158433,0.636019914
1.394305703,0.633817322
1.400428766,0.634956674
1.406552886,0.636022372
1.419117141,0.638007118
1.428820227,0.637861576
1.432004183,0.639514507
1.44372249,0.640434168
1.455745342,0.639260701
1.469613577,0.639458425
1.482731475,0.638603332
1.495966884,0.637870647
1.504264232,0.636615781
1.505741115,0.635374835
1.518281717,0.634568588
1.53183188,0.633101462
1.53789399,0.632233537
1.545500371,0.630899894
1.551552612,0.629676427
1.559290826,0.628698327
1.564178134,0.626936396
1.568546592,0.625516919
1.574359436,0.623559142
1.586059401,0.622275333
1.592881329,0.620476801
1.60267784,0.61963018
1.609778429,0.618168849
1.614725651,0.616807288
1.621670605,0.614935311
1.634931343,0.613284428
1.643335023,0.611958558
1.650616433,0.610680003
1.657930107,0.609401448
1.665276187,0.608122893
1.672655517,0.607027113
1.682546221,0.605748849
1.69124864,0.604653215
1.702504859,0.603557873
1.711309073,0.602096688
1.71889383,0.601366459
1.731610352,0.600271263
1.744423877,0.599907168
1.757329273,0.598811971
1.766422926,0.59881299
1.783436168,0.598814884
1.792667171,0.59936423
1.803275083,0.599913722
1.812608772,0.600463068
1.823336215,0.601378111
1.826030852,0.60229228
1.83819491,0.603755795
1.843628252,0.604670255
