KC-OL-lm_0,
W,R
0.72908,0.75204
0.72949,0.7516
0.7299,0.75129
0.73031,0.75047
0.73072,0.74964
0.73113,0.74906
0.73155,0.74862
0.73196,0.74776
0.73237,0.74661
0.73279,0.74657
0.7332,0.7471
0.73362,0.74715
0.73403,0.74664
0.73445,0.74537
0.73486,0.74452
0.73528,0.74429
0.7357,0.74413
0.73612,0.74401
0.73653,0.74363
0.73695,0.74267
0.73737,0.74113
0.73779,0.74056
0.73821,0.74088
0.73863,0.74081
0.73905,0.74043
0.73948,0.73996
0.7399,0.73945
0.74032,0.73872
0.74074,0.73831
0.74117,0.7381
0.74159,0.73739
0.74202,0.73651
0.74244,0.73509
0.74287,0.73395
0.74329,0.73382
0.74372,0.73351
0.74415,0.73295
0.74457,0.73214
0.745,0.73118
0.74543,0.73054
0.74586,0.73038
0.74629,0.73041
0.74672,0.72975
0.74715,0.72869
0.74758,0.7283
0.74801,0.72754
0.74844,0.72637
0.74887,0.72579
0.74931,0.72558
0.74974,0.72546
0.75017,0.72513
0.75061,0.72485
0.75104,0.72427
0.75148,0.72274
0.75191,0.72154
0.75235,0.72114
0.75279,0.72117
0.75323,0.72086
0.75366,0.71997
0.7541,0.719
0.75454,0.71759
0.75498,0.71649
0.75542,0.71643
0.75586,0.71627
0.7563,0.71564
0.75674,0.71506
0.75719,0.71441
0.75763,0.71353
0.75807,0.71278
0.75851,0.7125
0.75896,0.71223
0.7594,0.71165
0.75985,0.71068
0.76029,0.70955
0.76074,0.70919
0.76119,0.70889
0.76163,0.70791
0.76208,0.70709
0.76253,0.70622
0.76298,0.70544
0.76343,0.70549
0.76388,0.70536
0.76433,0.70451
0.76478,0.70391
0.76523,0.7034
0.76568,0.70218
0.76614,0.70134
0.76659,0.7012
0.76704,0.70103
0.7675,0.70083
0.76795,0.70012
0.76841,0.69915
0.76886,0.69847
0.76932,0.698
0.76977,0.69715
0.77023,0.69613
0.77069,0.69574
0.77115,0.69495
0.77161,0.6942
0.77207,0.69414
0.77253,0.69306
0.77299,0.6916
0.77345,0.69128
0.77391,0.69149
0.77437,0.69131
0.77484,0.69063
0.7753,0.68949
0.77576,0.68831
0.77623,0.68777
0.77669,0.6878
0.77716,0.68756
0.77762,0.68674
0.77809,0.68636
0.77856,0.68594
0.77903,0.68485
0.7795,0.68407
0.77996,0.68308
0.78043,0.68201
0.7809,0.68184
0.78138,0.68161
0.78185,0.68095
0.78232,0.68035
0.78279,0.67962
0.78326,0.67876
0.78374,0.67809
0.78421,0.67784
0.78469,0.67794
0.78516,0.6778
0.78564,0.67719
0.78611,0.67638
0.78659,0.67586
0.78707,0.67553
0.78755,0.67477
0.78803,0.67388
0.7885,0.67277
0.78898,0.67174
0.78946,0.67112
0.78995,0.67067
0.79043,0.67038
0.79091,0.66991
0.79139,0.66927
0.79188,0.66849
0.79236,0.66785
0.79284,0.66733
0.79333,0.66677
0.79382,0.66661
0.7943,0.66629
0.79479,0.66559
0.79528,0.66497
0.79576,0.66453
0.79625,0.66392
0.79674,0.66291
0.79723,0.66201
0.79772,0.66121
0.79822,0.6607
0.79871,0.66051
0.7992,0.66017
0.79969,0.6597
0.80019,0.65908
0.80068,0.65854
0.80117,0.65846
0.80167,0.65865
0.80217,0.65829
0.80266,0.65735
0.80316,0.65666
0.80366,0.65636
0.80416,0.65594
0.80466,0.65514
0.80516,0.65452
0.80566,0.65414
0.80616,0.65365
0.80666,0.65313
0.80716,0.65239
0.80766,0.65158
0.80817,0.65131
0.80867,0.65124
0.80918,0.65049
0.80968,0.6497
0.81019,0.64949
0.81069,0.64917
0.8112,0.64849
0.81171,0.64783
0.81222,0.64732
0.81273,0.64677
0.81324,0.64642
0.81375,0.64631
0.81426,0.64603
0.81477,0.64585
0.81528,0.6454
0.8158,0.64423
0.81631,0.64317
0.81682,0.64265
0.81734,0.64256
0.81786,0.64259
0.81837,0.64208
0.81889,0.64117
0.81941,0.64092
0.81992,0.641
0.82044,0.64024
0.82096,0.63933
0.82148,0.63911
0.822,0.639
0.82253,0.63835
0.82305,0.6376
0.82357,0.63736
0.82409,0.63704
0.82462,0.63654
0.82514,0.63629
0.82567,0.63572
0.8262,0.63507
0.82672,0.63496
0.82725,0.63489
0.82778,0.63429
0.82831,0.63356
0.82884,0.63345
0.82937,0.63359
0.8299,0.63329
0.83043,0.63243
0.83096,0.63172
0.8315,0.63162
0.83203,0.63131
0.83256,0.63055
0.8331,0.63015
0.83363,0.63
0.83417,0.6296
0.83471,0.62951
0.83525,0.6295
0.83578,0.62873
0.83632,0.6279
0.83686,0.62757
0.8374,0.62744
0.83794,0.62726
0.83849,0.62694
0.83903,0.62684
0.83957,0.62692
0.84012,0.62688
0.84066,0.62667
0.84121,0.62631
0.84175,0.62582
0.8423,0.62547
0.84285,0.62541
0.8434,0.62509
0.84395,0.62421
0.8445,0.62373
0.84505,0.62374
0.8456,0.62372
0.84615,0.62358
0.8467,0.62319
0.84726,0.62253
0.84781,0.6219
0.84836,0.6216
0.84892,0.62145
0.84948,0.6213
0.85003,0.621
0.85059,0.62054
0.85115,0.62034
0.85171,0.62011
0.85227,0.61992
0.85283,0.61984
0.85339,0.61956
0.85395,0.619
0.85452,0.61826
0.85508,0.61791
0.85564,0.61807
0.85621,0.61789
0.85678,0.61706
0.85734,0.61663
0.85791,0.61683
0.85848,0.61676
0.85905,0.61623
0.85962,0.61532
0.86019,0.61513
0.86076,0.61566
