SS-EN-2,
W,R
1.890356768,0.417366152
1.89359924,0.419116617
1.896840243,0.420429466
1.901699545,0.421742315
1.907366529,0.422617547
1.910609001,0.424368012
1.915469772,0.426118477
1.918716649,0.429181791
1.922769739,0.431369872
1.929248809,0.433120337
1.934112517,0.435746034
1.939785374,0.438371732
1.944646145,0.440122196
1.949509853,0.442747894
1.952752325,0.444498359
1.956801009,0.445373591
1.960047887,0.448436905
1.964910126,0.450624986
1.973007495,0.452375451
1.976251435,0.454563532
1.977877077,0.456751613
1.981928698,0.458502078
1.988413642,0.462003008
1.990849902,0.464628705
1.994092374,0.46637917
1.998948739,0.466816787
2.00542634,0.468129635
2.008667344,0.469442484
2.013526646,0.470755333
2.020002779,0.471630565
2.024862081,0.472943414
2.032960919,0.475131495
2.037821689,0.47688196
2.043494547,0.479507657
2.051590447,0.480820506
2.058072454,0.483446203
2.062121138,0.484321436
2.068611956,0.489572831
2.073472727,0.491323295
2.078336435,0.493948993
2.083198674,0.496137074
2.088065319,0.499638004
2.091307791,0.501388469
2.093742582,0.50357655
2.099418377,0.50707748
2.105091234,0.509703177
2.10995641,0.512766491
2.114828929,0.518017886
2.122123023,0.521518815
2.126989668,0.525019745
2.131856313,0.528520675
2.136717084,0.53027114
2.142391409,0.533334454
2.146445968,0.535960151
2.150499058,0.538148232
2.156171915,0.54077393
2.158608175,0.543399627
2.162662733,0.546025324
2.166717292,0.548651022
2.170768913,0.550401487
2.174014322,0.553027184
2.17887803,0.555652881
2.182126376,0.559153811
2.186991552,0.562217125
2.188617194,0.564405206
2.19186554,0.567906136
2.19349265,0.570531833
2.198359295,0.574032763
2.206462537,0.577533693
2.21212071,0.575783228
2.214545221,0.574907996
2.218588031,0.574032763
2.222636716,0.574907996
2.228299294,0.574470379
2.233158596,0.575783228
2.240451221,0.578846542
2.246928822,0.58015939
2.258264257,0.582347471
2.270400031,0.581909855
2.277682376,0.581909855
2.282532868,0.580597007
2.285762123,0.578408925
2.290614083,0.577533693
2.294665704,0.579284158
2.300332687,0.58015939
2.308432993,0.582785088
2.315721213,0.584535553
2.323818581,0.586286018
2.33029912,0.588474099
2.337579996,0.588036482
2.342434893,0.588036482
2.348913963,0.589786947
2.355387159,0.589786947
2.365105764,0.592412645
2.373200195,0.593287877
2.376438262,0.593725493
2.383725013,0.595038342
2.386964548,0.595913575
2.395868129,0.596788807
2.401535112,0.59766404
2.41044163,0.599414504
2.41852872,0.598101656
2.425000447,0.59766404
2.433899623,0.597226423
2.438751582,0.596351191
2.44441416,0.595913575
2.450880013,0.593725493
2.455730505,0.592412645
2.466247979,0.591975029
2.47353473,0.593287877
2.480007926,0.593287877
2.48323865,0.591537412
2.488087673,0.589786947
2.491313991,0.586723634
2.494543246,0.584535553
2.499398143,0.584535553
2.505072469,0.587598866
2.513970176,0.586723634
2.518817731,0.584535553
2.522854667,0.581909855
2.525280647,0.581472239
2.531740626,0.577533693
2.538205011,0.574907996
2.543869057,0.574907996
2.550342253,0.574907996
2.55681398,0.574470379
2.561664471,0.573157531
2.568951222,0.574470379
2.572995501,0.574032763
2.578653673,0.572282298
2.58188146,0.569656601
2.588348782,0.567906136
2.590773293,0.567030903
2.59643734,0.567030903
2.603719685,0.567030903
