MY_OL_30,
W,R
1.046151653,0.464410873
1.049213052,0.463546235
1.053467902,0.463394133
1.058432259,0.463240516
1.062225046,0.463804485
1.06482657,0.46379893
1.067905474,0.46407839
1.070997508,0.465215923
1.075736304,0.465777873
1.079537845,0.466913891
1.083335008,0.467763885
1.087145302,0.469471952
1.090469462,0.470322956
1.093570249,0.472032538
1.096430157,0.473456601
1.098344057,0.474882683
1.101681347,0.476591761
1.105493829,0.47844284
1.107179979,0.480441477
1.109805574,0.482009057
1.11242898,0.483433624
1.115054575,0.485001204
1.116502035,0.486857334
1.118897693,0.488854456
1.120815969,0.490566563
1.123671501,0.491704601
1.126544539,0.493986737
1.12893582,0.495697834
1.131318348,0.496836883
1.133004499,0.498835519
1.136109662,0.500831126
1.14040609,0.503396257
1.143281316,0.505821406
1.145670409,0.50738949
1.149009886,0.50924158
1.152355929,0.511522706
1.155931908,0.513374291
1.159032696,0.515083873
1.162604299,0.516649433
1.165464207,0.518073496
1.168562806,0.519640066
1.172368723,0.521062109
1.176415519,0.522769671
1.180225813,0.524477738
1.182128771,0.52518876
1.184745613,0.526184291
1.187373396,0.527894883
1.191179313,0.529316926
1.193811472,0.531313542
1.19643269,0.532595098
1.199765603,0.534018151
1.202868578,0.535870745
1.205732863,0.537580832
1.209540969,0.539145887
1.211930061,0.540713972
1.216916301,0.541990478
1.221433912,0.543554018
1.224530323,0.544977576
1.227390232,0.546401638
1.228581495,0.546971163
1.230964023,0.548110211
1.234524685,0.548960709
1.2380941,0.550383257
1.241427013,0.55180631
1.244519047,0.552943843
1.249511851,0.554649386
1.253803902,0.556928492
1.257136815,0.558351545
1.259994535,0.559632595
1.263327448,0.561055648
1.266653796,0.562049664
1.26974583,0.563187197
1.273549559,0.564466228
1.276639404,0.565460749
1.27927594,0.56774339
1.283081857,0.569165433
1.285473138,0.57087653
1.288092168,0.572015073
1.29073308,0.574583739
1.293590801,0.575864789
1.296461651,0.578003913
1.300276321,0.579998005
1.302190221,0.581424088
1.305529698,0.583276177
1.309339992,0.584984245
1.312913783,0.586692817
1.31673283,0.588972933
1.319121922,0.590541018
1.321981831,0.591965081
1.326028627,0.593672643
1.329370293,0.595667745
1.331761573,0.597378842
1.334621482,0.598802905
1.337720081,0.600369475
1.341291684,0.601935035
1.344164722,0.604217171
1.347979392,0.606211263
1.349897669,0.60792337
1.353007209,0.610205002
1.356344498,0.611914079
1.35990516,0.612764578
1.364895776,0.614327108
1.370363773,0.616174652
1.372991556,0.617885245
1.376337598,0.620166371
1.379442762,0.622161978
1.381840608,0.624302112
1.384238453,0.626442246
1.387107115,0.628438357
1.3899714,0.630148445
1.392367057,0.632145566
1.39523353,0.633998666
1.397626999,0.635852775
1.399554029,0.638136932
1.403379641,0.640846085
1.405527854,0.64212865
1.409110399,0.644409271
1.411985625,0.64683442
1.415090789,0.648830027
1.417729513,0.65125568
1.420122982,0.65310979
1.422275573,0.65467838
1.424914297,0.657104033
1.426841327,0.659388189
1.429011423,0.662100877
1.43046326,0.664243031
1.432155976,0.666670705
1.433607813,0.668812859
1.436250914,0.671524537
1.43818232,0.674094717
1.439879412,0.676808415
1.441813006,0.679521608
1.444219605,0.682233791
1.445675819,0.68466197
1.448548857,0.686944106
1.45000507,0.689372285
1.452661301,0.692942036
1.454340887,0.694511636
1.456042356,0.697511359
1.459633653,0.700364029
1.462981884,0.702788168
1.465375353,0.704642277
1.468000948,0.706209857
1.470168856,0.708779533
1.472566701,0.710919667
1.475203237,0.713202308
1.477598895,0.71519943
1.478803288,0.716627027
1.482142766,0.718479117
1.484531858,0.720047202
1.486450135,0.721759309
1.48931442,0.723469396
1.493593341,0.724890429
1.496470756,0.72745859
1.499343794,0.729740726
1.50317597,0.732878916
1.504627807,0.73502107
1.50703003,0.737447228
1.510857829,0.740299394
1.514438186,0.742437003
1.517065969,0.744147595
1.520177697,0.746572239
1.523291614,0.749139894
1.527583665,0.751419001
1.530465456,0.754273186
1.533818063,0.756983349
1.536695478,0.75955151
1.539575081,0.762262683
1.544105822,0.764684297
1.546735794,0.766537901
1.548890572,0.768249503
1.551767987,0.770817664
1.555103088,0.772383729
1.557967373,0.774093816
1.560369595,0.776519975
1.562055746,0.778518611
1.564208336,0.780087201
1.567793069,0.782510835
1.571130359,0.784219912
1.574231146,0.785929495
1.577575,0.788067609
1.579966281,0.789778706
1.583544449,0.791773303
1.587120428,0.793624887
1.589980337,0.79504895
1.59379063,0.796757017
1.596654916,0.798467104
1.599273945,0.799605648
1.602144795,0.801744772
1.606191591,0.803452334
1.608101114,0.804592392
1.610501148,0.806875538
1.613354492,0.807870564
1.616700534,0.810151691
1.620033447,0.811574743
