OC-LVM-F,
W,R
1.056165898,0.23451442
1.059613818,0.236281028
1.061359194,0.237606637
1.066466828,0.238929635
1.069914749,0.240696243
1.073362669,0.242462851
1.080108601,0.242899934
1.08351369,0.243781933
1.086897363,0.244221627
1.092004997,0.245544625
1.097112631,0.246867623
1.10051772,0.247749622
1.103987057,0.249958534
1.105711017,0.250841838
1.109180353,0.253050751
1.112585442,0.25393275
1.117714492,0.255698052
1.121183828,0.257906965
1.124610333,0.259231269
1.128015422,0.260113267
1.133144472,0.26187857
1.138273521,0.263643873
1.141721442,0.265410481
1.145126531,0.266292479
1.151915294,0.267614172
1.157001512,0.268494865
1.162109146,0.269817863
1.165557066,0.271584471
1.168983571,0.272908775
1.174091205,0.274231773
1.179177423,0.275112466
1.187583068,0.275105939
1.192669286,0.275986633
1.19777692,0.277309631
1.204587099,0.279073628
1.21133303,0.279510711
1.21473812,0.28039271
1.219845753,0.281715708
1.228251398,0.281709181
1.236657043,0.281702655
1.241764677,0.283025653
1.246872311,0.284348651
1.251937113,0.284787039
1.258747292,0.286551037
1.26210955,0.286548426
1.268898313,0.287870119
1.273984531,0.288750812
1.280751878,0.2896302
1.287497809,0.290067284
1.294265157,0.290946672
1.297691662,0.292270975
1.307864098,0.294032362
1.312971732,0.29535536
1.318079366,0.296678358
1.324868129,0.29800005
1.328273218,0.298882049
1.333359436,0.299762742
1.338509901,0.30197035
1.345298664,0.303292042
1.352066011,0.30417143
1.360471656,0.304164904
1.365557874,0.305045597
1.372368053,0.306809594
1.382497658,0.307686372
1.389307836,0.309450369
1.396118015,0.311214366
1.404566491,0.312092449
1.413036383,0.313412836
1.416420056,0.31385253
1.423187403,0.314731918
1.429997582,0.316495916
1.43680776,0.318259913
1.441893979,0.319140606
1.446980197,0.3200213
1.453747544,0.320900688
1.458790931,0.320896772
1.465558278,0.32177616
1.468963367,0.322658158
1.475709299,0.323095242
1.482433815,0.32309002
1.487477202,0.323086104
1.494223133,0.323523188
1.500947649,0.323517966
1.509353294,0.32351144
1.514418096,0.323949828
1.521142612,0.323944607
1.527867128,0.323939386
1.536272773,0.323932859
1.542975873,0.323485333
1.54801926,0.323481417
1.558063202,0.322588976
1.561382629,0.321701756
1.571426571,0.320809314
1.574745998,0.319922094
1.584811356,0.319471958
1.588173614,0.319469347
1.596536428,0.318578211
1.604963488,0.319013989
1.608282915,0.318126769
1.614900352,0.315910024
1.626604008,0.314573973
1.62994485,0.314129058
1.638264833,0.312353312
1.644946517,0.311463481
1.65499046,0.31057104
1.661629313,0.3087966
1.664927324,0.307467075
1.669927879,0.30657855
1.678269277,0.305245109
1.683291249,0.304798889
1.689972933,0.303909058
1.694973489,0.303020533
1.701655173,0.302130702
1.706655729,0.301242177
1.713337413,0.300352346
1.718273722,0.298136906
1.721614564,0.297691991
1.724912575,0.296362466
1.73159426,0.295472636
1.738254529,0.2941405
1.741573955,0.29325328
1.746595926,0.29280706
1.751575066,0.29147623
1.754894493,0.29058901
1.761576178,0.289699179
1.768322109,0.290136262
1.77162012,0.288806738
1.778301805,0.287916907
1.783259529,0.286143772
1.788260084,0.285255247
1.796665729,0.28524872
1.803390245,0.285243499
1.811753059,0.284352363
1.816732199,0.283021533
1.823392467,0.281689397
1.830138399,0.282126481
1.83516037,0.28168026
1.84186347,0.281232734
1.845161481,0.279903209
1.850140621,0.278572379
1.858546266,0.278565853
1.866973327,0.279001631
1.870292753,0.278114411
1.875250478,0.276341276
1.881974993,0.276336055
1.887061212,0.277216748
1.893785727,0.277211527
1.900510243,0.277206305
1.907213343,0.276758779
1.91053277,0.275871559
1.92064096,0.276306032
1.925705762,0.276744421
1.934132823,0.277180199
1.939133378,0.276291673
1.945857894,0.276286452
1.95258241,0.276281231
1.960988055,0.276274704
1.967755402,0.277154092
1.974479918,0.277148871
1.982885563,0.277142344
1.991355454,0.278462731
1.996420257,0.27890112
2.003187604,0.279780508
2.013317209,0.280657285
2.021722854,0.280650759
2.028511617,0.281972451
2.035257548,0.282409535
2.043706024,0.283287617
2.052175916,0.284608005
2.058964679,0.285929697
2.065732026,0.286809085
2.070818244,0.287689779
2.075925878,0.289012777
2.082693226,0.289892165
2.089439157,0.290329248
2.097866218,0.290765026
2.106293278,0.291200804
2.111400912,0.292523802
2.116508546,0.2938468
2.119913635,0.294728799
2.126680982,0.295608187
2.133405498,0.295602965
2.140108598,0.295155439
2.143513687,0.296037438
2.150345282,0.29824374
2.157112629,0.299123128
2.162156016,0.299119212
2.168880531,0.299113991
2.172285621,0.299995989
2.179010137,0.299990768
2.182415226,0.300872767
2.18752286,0.302195765
2.192587662,0.302634153
2.196014167,0.303958457
2.204398396,0.303509625
2.211122912,0.303504404
2.217847428,0.303499183
2.222976478,0.305264485
2.228105527,0.307029788
2.234872874,0.307909176
2.241575974,0.30746165
2.248279075,0.307014124
2.255067837,0.308335817
2.258494342,0.30966012
2.26526169,0.310539508
2.27368875,0.310975286
2.278753553,0.311413675
2.2855209,0.312293063
2.288925989,0.313175061
2.295629089,0.312727535
2.304013318,0.312278704
2.309099537,0.313159397
2.312504626,0.314041396
2.319293389,0.315363089
2.32603932,0.315800172
2.336126094,0.31579234
2.33274242,0.315352646
2.341190896,0.316230729
2.34629853,0.317553727
2.349660788,0.317551116
2.356385304,0.317545895
2.36310982,0.317540673
2.369877167,0.318420061
2.378304228,0.318855839
2.383326199,0.318409619
2.390050715,0.318404397
2.396818062,0.319283785
2.40688342,0.318833649
2.410309925,0.320157952
2.412055301,0.321483561
2.417120103,0.321921949
2.423801788,0.321032119
2.430526304,0.321026897
2.437293651,0.321906285
2.44069874,0.322788284
2.450764098,0.322338147
2.45751003,0.322775231
2.462553417,0.322771315
2.469363595,0.324535312
2.47776924,0.324528785
2.487856014,0.324520953
2.49458053,0.324515732
2.49802845,0.32628234
2.504752966,0.326277119
2.509753522,0.325388593
2.51483974,0.326269287
2.518223414,0.326708981
2.528374434,0.328028063
2.531736692,0.328025452
2.538482624,0.328462535
2.54520714,0.328457314
2.5536342,0.328893092
2.558677587,0.328889176
2.562125507,0.330655784
2.565487765,0.330653173
2.572212281,0.330647952
2.577212837,0.329759427
2.582256224,0.329755511
2.590661869,0.329748984
