OC-GS-F,
W,R
1.406905663,0.208702006
1.41040467,0.208230557
1.416208709,0.208819869
1.424343839,0.209173456
1.431315792,0.209527042
1.4371222,0.209998491
1.442933346,0.210234216
1.447578946,0.210587803
1.452224546,0.210941389
1.459191762,0.211530701
1.46617556,0.211294976
1.471998551,0.210941389
1.477819173,0.210705665
1.483632688,0.210823527
1.48827355,0.211412839
1.491751235,0.21200215
1.498723189,0.212355737
1.503375896,0.212355737
1.510359695,0.212120012
1.512693155,0.211766425
1.52084013,0.211530701
1.524334399,0.211294976
1.530152652,0.211177114
1.538304365,0.210705665
1.545290532,0.210352078
1.549952715,0.209880629
1.556941252,0.20940918
1.560440258,0.208937731
1.566256142,0.208937731
1.570911218,0.208819869
1.574403117,0.208702006
1.580223739,0.208466282
1.587209907,0.208112695
1.593032898,0.207759108
1.596531904,0.207287659
1.600021434,0.207287659
1.609329217,0.207169797
1.6139914,0.206698348
1.619821498,0.205991174
1.622154959,0.205637588
1.626814773,0.205284001
1.631476956,0.204812552
1.633808047,0.204576827
1.640796584,0.204105378
1.645454029,0.203869654
1.648950666,0.203516067
1.654773657,0.20316248
1.659428733,0.203044618
1.662932477,0.202337444
1.666433853,0.201748133
1.671096036,0.201276684
1.675762957,0.20056951
1.68042514,0.200098061
1.685092061,0.199390888
1.688595805,0.198683714
1.693257988,0.198212265
1.700246525,0.197740816
1.70723743,0.197151505
1.711897244,0.196797918
1.71539625,0.196326469
1.720063171,0.195619295
1.724725355,0.195147846
1.732877068,0.194676397
1.738704797,0.194087086
1.744532525,0.193497775
1.752686608,0.192908463
1.759668037,0.192790601
1.762008605,0.192083428
1.766677895,0.191258392
1.773671169,0.190551218
1.782978953,0.190433356
1.787634029,0.190315494
1.793452281,0.190197631
1.799268165,0.190197631
1.805084049,0.190197631
1.814391832,0.190079769
1.817883731,0.189961907
1.822543545,0.18960832
1.827198622,0.189490458
1.834177682,0.189490458
1.845814188,0.189254733
1.850466895,0.189254733
1.857443586,0.189372596
1.864429754,0.189019009
1.871418291,0.18854756
1.877234174,0.18854756
1.88538115,0.188311835
1.89236021,0.188311835
1.898171356,0.18854756
1.90398724,0.18854756
1.912127108,0.188665422
1.917942992,0.188665422
1.924924422,0.18854756
1.933066659,0.18854756
1.941208896,0.18854756
1.948187957,0.18854756
1.957486264,0.188901147
1.962127126,0.189490458
1.967935903,0.189844045
1.976066295,0.190433356
1.984201426,0.190786943
1.990014941,0.190904805
1.99466291,0.19114053
2.001630125,0.191729841
2.008602079,0.192083428
2.01324531,0.192554877
2.020224371,0.192554877
2.027198693,0.192790601
2.035331454,0.19326205
2.038813878,0.193615637
2.043452371,0.194322811
2.050426693,0.194558535
2.057398647,0.194912122
2.063209793,0.195147846
2.069020939,0.195383571
2.071337816,0.19585502
2.075981047,0.196326469
2.081792193,0.196562194
2.089929693,0.196797918
2.095740838,0.197033643
2.100388807,0.197269367
2.106188108,0.198094403
2.111992147,0.198683714
