KC-OL-Im_10,
W,R
0.77716,0.41597
0.77762,0.41574
0.77809,0.41571
0.77856,0.41546
0.77903,0.41505
0.7795,0.41487
0.77996,0.41419
0.78043,0.41352
0.7809,0.41342
0.78138,0.41342
0.78185,0.41329
0.78232,0.41281
0.78279,0.41231
0.78326,0.41185
0.78374,0.41194
0.78421,0.41242
0.78469,0.41236
0.78516,0.41209
0.78564,0.41182
0.78611,0.41173
0.78659,0.41183
0.78707,0.41159
0.78755,0.41099
0.78803,0.41069
0.7885,0.41068
0.78898,0.41054
0.78946,0.41017
0.78995,0.40964
0.79043,0.40965
0.79091,0.40975
0.79139,0.40928
0.79188,0.40922
0.79236,0.40932
0.79284,0.40889
0.79333,0.40884
0.79382,0.40925
0.7943,0.40904
0.79479,0.40852
0.79528,0.40864
0.79576,0.40887
0.79625,0.40852
0.79674,0.40803
0.79723,0.40778
0.79772,0.40731
0.79822,0.40701
0.79871,0.40724
0.7992,0.40742
0.79969,0.4076
0.80019,0.40758
0.80068,0.4075
0.80117,0.40756
0.80167,0.4076
0.80217,0.40767
0.80266,0.40721
0.80316,0.40667
0.80366,0.40686
0.80416,0.40718
0.80466,0.40679
0.80516,0.40611
0.80566,0.40618
0.80616,0.40643
0.80666,0.40645
0.80716,0.40652
0.80766,0.40655
0.80817,0.40655
0.80867,0.40641
0.80918,0.40614
0.80968,0.40601
0.81019,0.40633
0.81069,0.40629
0.8112,0.40556
0.81171,0.40524
0.81222,0.40529
0.81273,0.40537
0.81324,0.4054
0.81375,0.40512
0.81426,0.40489
0.81477,0.40529
0.81528,0.40585
0.8158,0.40536
0.81631,0.40446
0.81682,0.40414
0.81734,0.4046
0.81786,0.40528
0.81837,0.40514
0.81889,0.4045
0.81941,0.40429
0.81992,0.40445
0.82044,0.40421
0.82096,0.40383
0.82148,0.40384
0.822,0.40365
0.82253,0.40337
0.82305,0.40314
0.82357,0.40283
0.82409,0.40265
0.82462,0.40283
0.82514,0.40334
0.82567,0.40343
0.8262,0.40305
0.82672,0.40274
0.82725,0.40271
0.82778,0.40267
0.82831,0.40247
0.82884,0.4025
0.82937,0.40266
0.8299,0.40261
0.83043,0.40236
0.83096,0.40213
0.8315,0.40204
0.83203,0.40204
0.83256,0.40195
0.8331,0.40186
0.83363,0.40165
0.83417,0.40105
0.83471,0.40086
0.83525,0.40098
0.83578,0.40067
0.83632,0.40048
0.83686,0.40055
0.8374,0.40053
0.83794,0.40046
0.83849,0.40038
0.83903,0.40036
0.83957,0.40057
0.84012,0.40076
0.84066,0.40064
0.84121,0.40054
0.84175,0.40056
0.8423,0.40051
0.84285,0.40037
0.8434,0.40016
0.84395,0.39992
0.8445,0.39995
0.84505,0.4001
0.8456,0.40004
0.84615,0.40005
0.8467,0.40003
0.84726,0.3998
0.84781,0.39964
0.84836,0.39961
0.84892,0.39958
0.84948,0.39949
0.85003,0.39932
0.85059,0.39922
0.85115,0.39949
0.85171,0.39942
0.85227,0.39893
0.85283,0.39869
0.85339,0.39865
0.85395,0.39867
0.85452,0.39855
0.85508,0.39853
0.85564,0.39884
0.85621,0.39893
0.85678,0.39864
0.85734,0.39837
0.85791,0.3985
0.85848,0.39857
0.85905,0.39814
0.85962,0.39754
0.86019,0.39737
0.86076,0.39773
0.86133,0.39819
0.8619,0.39834
0.86248,0.39823
0.86305,0.39813
0.86362,0.39789
0.8642,0.39801
0.86478,0.39835
0.86535,0.39836
0.86593,0.3983
0.86651,0.39821
0.86709,0.398
0.86767,0.39792
0.86825,0.39796
0.86883,0.39785
0.86942,0.39758
0.87,0.39741
0.87058,0.3975
0.87117,0.39766
0.87176,0.39749
0.87234,0.39709
0.87293,0.39676
0.87352,0.39676
0.87411,0.39709
0.8747,0.39722
0.87529,0.39712
0.87588,0.39706
0.87647,0.39703
0.87706,0.39701
0.87766,0.39688
0.87825,0.39657
0.87885,0.39637
0.87944,0.39647
0.88004,0.3966
0.88064,0.39645
0.88124,0.39617
0.88184,0.396
0.88244,0.39603
0.88304,0.39617
0.88364,0.39615
0.88424,0.39591
0.88485,0.39569
0.88545,0.39567
0.88606,0.39564
0.88666,0.39542
0.88727,0.39519
0.88788,0.39502
0.88849,0.39499
0.8891,0.39505
0.88971,0.39503
0.89032,0.39494
0.89093,0.39484
0.89154,0.39475
0.89215,0.39474
0.89277,0.39462
0.89338,0.39444
0.894,0.39429
0.89462,0.39413
0.89524,0.39403
0.89585,0.39383
0.89647,0.39345
0.89709,0.39334
0.89772,0.39348
0.89834,0.39345
0.89896,0.39335
0.89958,0.39323
0.90021,0.39301
0.90083,0.39286
0.90146,0.39273
0.90209,0.3924
0.90272,0.39216
0.90335,0.39209
0.90398,0.39192
0.90461,0.39176
0.90524,0.39171
0.90587,0.3915
0.9065,0.3912
0.90714,0.39104
0.90777,0.39093
0.90841,0.3908
0.90905,0.39064
0.90968,0.39037
0.91032,0.39016
0.91096,0.39001
0.9116,0.38975
0.91225,0.38944
0.91289,0.3892
0.91353,0.38895
0.91418,0.38865
0.91482,0.38846
0.91547,0.38829
0.91611,0.388
0.91676,0.38763
0.91741,0.38735
0.91806,0.38718
0.91871,0.38696
0.91936,0.38671
0.92001,0.38642
0.92067,0.38614
0.92132,0.38595
0.92198,0.38572
0.92263,0.38545
0.92329,0.3852
0.92395,0.38499
0.92461,0.38479
0.92527,0.38459
0.92593,0.38435
0.92659,0.3839
0.92725,0.38341
0.92792,0.38306
0.92858,0.38269
0.92925,0.38232
0.92991,0.38213
0.93058,0.38195
0.93125,0.38164
0.93192,0.38127
0.93259,0.38094
0.93326,0.38069
0.93393,0.38039
0.93461,0.38003
0.93528,0.3797
0.93596,0.37936
0.93663,0.37893
0.93731,0.37846
0.93799,0.37801
0.93867,0.37761
0.93935,0.37726
0.94003,0.37693
0.94071,0.37655
0.9414,0.37619
0.94208,0.37585
0.94276,0.37564
0.94345,0.3754
0.94414,0.37505
0.94483,0.37459
0.94551,0.3741
0.94621,0.37372
0.9469,0.37338
0.94759,0.37292
0.94828,0.37238
0.94898,0.37195
0.94967,0.3716
0.95037,0.37113
0.95106,0.3706
0.95176,0.37022
0.95246,0.36981
0.95316,0.36925
0.95386,0.3688
0.95457,0.36839
0.95527,0.36791
0.95597,0.36754
0.95668,0.36715
0.95739,0.36667
0.95809,0.36631
0.9588,0.36596
0.95951,0.3655
0.96022,0.36499
0.96094,0.36448
0.96165,0.36404
0.96236,0.36362
0.96308,0.3632
0.96379,0.36276
0.96451,0.36233
0.96523,0.36194
0.96595,0.36153
0.96667,0.36102
0.96739,0.36053
0.96811,0.36014
0.96883,0.35965
0.96956,0.3591
0.97029,0.35857
0.97101,0.358
0.97174,0.3575
0.97247,0.35715
0.9732,0.35683
0.97393,0.35638
0.97466,0.35589
0.9754,0.35547
0.97613,0.35508
0.97687,0.35463
0.9776,0.35419
0.97834,0.35373
0.97908,0.35316
0.97982,0.35263
0.98056,0.35226
0.9813,0.35192
0.98205,0.35148
0.98279,0.35091
0.98354,0.35034
0.98428,0.34987
0.98503,0.34942
0.98578,0.34894
0.98653,0.34847
0.98728,0.34801
0.98803,0.34756
0.98879,0.34707
0.98954,0.34655
0.9903,0.34609
0.99106,0.34573
0.99181,0.34538
0.99257,0.34501
0.99333,0.34456
0.9941,0.34407
0.99486,0.34362
0.99562,0.34325
0.99639,0.3429
0.99715,0.34252
0.99792,0.34215
0.99869,0.34185
0.99946,0.34157
1.0002,0.3412
1.001,0.34081
1.0018,0.34044
1.0026,0.34008
1.0033,0.33979
1.0041,0.33948
1.0047,0.34158
1.0049,0.34087
1.0051,0.33945
1.0053,0.33849
1.0055,0.33836
1.0057,0.3391
1.0059,0.3404
1.0061,0.34152
1.0062,0.34242
1.0064,0.34306
1.0066,0.34301
1.0068,0.34262
1.007,0.34254
1.0072,0.3425
1.0074,0.34203
1.0076,0.34114
1.0078,0.34046
1.008,0.34055
1.0082,0.34085
1.0084,0.3408
1.0086,0.34106
1.0088,0.34133
1.009,0.34056
1.0092,0.33968
1.0094,0.33985
1.0096,0.33992
1.0098,0.33902
1.01,0.33829
1.0102,0.33869
1.0104,0.33955
1.0106,0.33955
1.0108,0.33816
1.011,0.33645
1.0112,0.33601
1.0114,0.33709
1.0115,0.3389
1.0117,0.34079
1.0119,0.34159
1.0121,0.34045
1.0123,0.33889
1.0125,0.33887
1.0127,0.33913
1.0129,0.33776
1.0131,0.33627
1.0133,0.33684
1.0135,0.33824
1.0137,0.33886
1.0139,0.33947
1.0141,0.3399
1.0143,0.33882
1.0145,0.33757
1.0147,0.338
1.0149,0.33901
1.0151,0.33957
1.0153,0.34041
1.0155,0.34111
1.0157,0.34054
1.0159,0.33939
1.0161,0.339
1.0163,0.33955
1.0165,0.34005
1.0167,0.33917
1.0169,0.33709
1.0171,0.3356
1.0173,0.33562
1.0175,0.3367
1.0177,0.33789
1.0179,0.33841
1.0181,0.33845
1.0183,0.33849
1.0185,0.33829
1.0187,0.33834
1.0189,0.33929
1.0191,0.33989
1.0193,0.33902
1.0195,0.33763
1.0197,0.33658
1.0199,0.3362
1.0201,0.33692
1.0203,0.33807
1.0205,0.33816
1.0207,0.33719
1.0209,0.33678
1.0211,0.33814
1.0213,0.3402
1.0215,0.34068
1.0217,0.33959
1.0219,0.33896
1.0221,0.33874
1.0223,0.33758
1.0225,0.3364
1.0227,0.33669
1.0229,0.33747
1.0231,0.33739
1.0233,0.33707
1.0235,0.33695
1.0237,0.3363
