OWN_OLV_0,
W,R
0.972835866,0.579525309
0.973375676,0.578120801
0.974455296,0.577117706
0.975534915,0.57611461
0.97634463,0.575111467
0.977154344,0.573907665
0.978233964,0.572804241
0.979313583,0.571700817
0.980933013,0.57049716
0.981742727,0.569494017
0.982552442,0.568390544
0.983362157,0.567287071
0.984171871,0.56608327
0.985521396,0.565080223
0.986601015,0.563675812
0.987680635,0.562672717
0.988490349,0.561569244
0.989300064,0.560666429
0.990379683,0.559462676
0.991999113,0.558560007
0.993348637,0.557356302
0.994428257,0.556152549
0.995507876,0.555049125
0.996857401,0.554046078
0.99847683,0.55304308
0.999556449,0.551839327
1.001715689,0.550736096
1.003065213,0.549632721
1.004144832,0.548328639
1.004954547,0.547225166
1.006034167,0.546222071
1.007113786,0.545218975
1.009273025,0.544316403
1.01008274,0.543413588
1.010892454,0.542310116
1.011702169,0.541306972
1.013321598,0.540504631
1.014671123,0.539501585
1.016290552,0.538297929
1.018449791,0.537295027
1.02006922,0.536392358
1.022228459,0.535690444
1.023847889,0.534687445
1.026007128,0.533985531
1.027626557,0.533082862
1.029515891,0.532380899
1.031405225,0.531678936
1.033564464,0.530977022
1.035723704,0.530174778
1.037882943,0.529673522
1.040312087,0.528971656
1.042471326,0.52837007
1.045710184,0.528169995
1.048679138,0.52796987
1.051917996,0.527769795
1.055156855,0.527770377
1.058395714,0.527871288
1.061904477,0.528574221
1.065143336,0.529277106
1.067842384,0.530080223
1.070271528,0.53098362
1.072430767,0.531987297
1.075129816,0.532991071
1.077289055,0.534195407
1.078908485,0.535399645
1.080797819,0.536403274
1.082957058,0.53750728
1.084846392,0.538611238
1.087005631,0.539614916
1.08862506,0.541019812
1.09024449,0.542324379
1.092133824,0.543428337
1.094023158,0.544632624
1.095372682,0.545836813
1.097262016,0.547241758
1.098881446,0.548646654
1.10023097,0.549750515
1.102390209,0.551155508
1.104279543,0.552560453
1.105898973,0.55386502
1.108058212,0.555069355
1.109407736,0.556474203
1.110757261,0.557879051
1.113186404,0.559284092
1.115345644,0.560488428
1.116695168,0.561692617
1.118314597,0.562997185
1.119934027,0.564101094
1.121553456,0.565305332
1.123172885,0.5666099
1.124792314,0.567713809
1.126951553,0.568918144
1.128570983,0.569921725
1.129920507,0.571226243
1.131270032,0.572229775
1.132889461,0.573333685
1.134778795,0.574537971
1.136668129,0.575742258
1.138827368,0.577147251
1.140446797,0.578150832
1.142606037,0.57905418
1.144495371,0.580158138
1.1461148,0.581563034
1.148274039,0.582667041
1.150703183,0.583771095
1.152862422,0.585276418
1.154751756,0.586179718
1.15772071,0.587183541
1.160149854,0.588387924
1.162309093,0.589391602
1.163928522,0.590294853
1.166357666,0.591298579
1.16878681,0.592201976
1.170946049,0.593004996
1.173105288,0.594008673
1.175264527,0.59511268
1.177963576,0.595815467
1.18039272,0.596819193
1.182551959,0.597622213
1.184981103,0.598625939
1.187410247,0.599328678
1.189839391,0.600232075
1.19199863,0.601235753
1.194427774,0.601938492
1.197396727,0.602641328
1.199825871,0.603444396
1.20252492,0.60444817
1.206033684,0.605251433
1.207923018,0.606054404
1.210352162,0.606857472
1.212241496,0.607660443
1.21467064,0.608463511
1.217369689,0.609266628
1.220068737,0.610170073
1.222767786,0.611073519
1.22519693,0.611876587
1.227626074,0.612880313
1.230055218,0.613884039
1.233024172,0.614787533
1.234913506,0.615590504
1.23788246,0.616594327
1.240041699,0.61709636
1.243010652,0.61830084
1.245439796,0.619304566
1.247599035,0.620107586
1.249218465,0.621010837
1.251917513,0.621914283
1.254076752,0.622817631
1.256235992,0.62372098
1.258125326,0.624724609
1.26001466,0.625627909
1.262173899,0.6263306
1.264333138,0.627534935
1.266492377,0.628538612
1.268111806,0.629241206
1.270271045,0.630244883
1.27216038,0.631348841
1.274049714,0.632553128
1.277018667,0.633556951
1.278368192,0.634560483
1.281067241,0.635564257
1.28268667,0.636567838
1.284306099,0.637772076
1.286735243,0.638675473
1.289164387,0.639879857
1.290244007,0.640983669
1.292133341,0.64178664
1.294022675,0.642589611
1.295912009,0.643693569
1.298341153,0.644998282
1.300500392,0.646202617
1.302929536,0.647206343
1.30427906,0.648611191
1.306708204,0.650016233
1.308867443,0.651220568
1.310756778,0.652424855
1.312646112,0.653629141
1.313995636,0.654632673
1.315615065,0.655836912
1.3175044,0.65694087
1.319393734,0.658044827
1.321013163,0.659249066
1.322632592,0.660252646
1.325061736,0.66145703
1.326681166,0.662861926
1.328840405,0.663965932
1.330189929,0.665270451
1.331539453,0.66657497
1.333158883,0.667779208
1.334778312,0.668883117
1.337477361,0.670388537
1.33909679,0.671693104
1.341256029,0.672897439
1.342875458,0.67390102
1.344494888,0.675105258
1.345574507,0.676108741
1.348003651,0.677413454
1.348813366,0.678517218
1.3507027,0.679621176
1.352052224,0.680925694
1.353671654,0.681828946
1.355291083,0.683033184
1.357180417,0.684036813
1.358529942,0.685140674
1.359609561,0.686445144
1.360959085,0.687649334
1.36284842,0.688753292
1.364197944,0.689857152
1.366087278,0.69096111
1.367706708,0.692265678
1.368786327,0.693168832
1.369865947,0.694272644
1.371215471,0.695175847
1.3728349,0.696279757
1.37445433,0.697383666
1.375803854,0.698387198
1.377153378,0.699491059
1.379042713,0.700795674
1.380122332,0.701899487
1.381201952,0.703103628
1.383631096,0.704608999
1.38552043,0.705612628
1.387139859,0.706816866
1.388489383,0.707920727
1.390378718,0.709024685
1.391998147,0.710228923
1.393077766,0.711332735
1.394697196,0.712235987
1.396316625,0.713239567
1.39712634,0.71444366
1.399015674,0.715647947
1.400095293,0.716852088
1.401714723,0.718156655
1.403604057,0.719360942
1.405223486,0.720665509
1.40765263,0.721970222
1.409272059,0.72317446
1.410351679,0.724378601
1.411971108,0.72558284
1.414130347,0.726887504
1.415479871,0.727991365
1.416829396,0.729195554
1.41871873,0.730399841
1.420068254,0.731503702
1.421957589,0.732507331
1.423037208,0.733510814
1.424116828,0.734915613
1.425466352,0.736320461
1.426276067,0.737323896
1.428435306,0.738528231
1.430054735,0.73973247
1.431674164,0.74073605
1.433023689,0.74194024
1.434373213,0.743244758
1.435992642,0.744248339
1.437072262,0.74545248
1.438691691,0.746757047
1.44085093,0.747861054
1.44247036,0.748964963
1.444089789,0.750369859
1.445709218,0.75137344
1.447868457,0.752577775
1.448678172,0.753882197
1.450027696,0.754986057
1.451107316,0.756190199
1.453266555,0.757394534
1.455155889,0.758799479
1.457585033,0.760104191
1.459204462,0.761609416
1.460823892,0.762813655
1.462983131,0.76401799
1.46460256,0.765121899
1.466221989,0.766627124
1.467841418,0.767530376
1.469460848,0.768834943
1.470810372,0.770239791
1.472969611,0.771444126
1.474319136,0.772447658
1.47620847,0.773651945
1.477827899,0.774755854
1.479447328,0.775659106
1.481336663,0.776562406
1.482416282,0.777666218
1.484575521,0.778770224
1.48619495,0.779874134
1.488084285,0.780978092
1.489973619,0.782182378
1.491593048,0.783687603
1.492942572,0.784691135
1.494562002,0.785694716
1.496451336,0.786698345
1.498070765,0.787902583
1.499960099,0.78910687
1.501849434,0.790210828
1.503738768,0.791515443
1.505628102,0.792519072
1.507517436,0.793522701
1.509136865,0.794526282
1.511026199,0.795630239
1.512645629,0.796533491
1.514534963,0.797436791
1.516424297,0.798340091
1.517773821,0.799343623
1.519123346,0.800246826
1.52101268,0.801250455
1.522362204,0.802253987
1.523981634,0.803157238
1.525601063,0.803960161
1.526680683,0.804863315
1.528839922,0.805566006
1.530729256,0.806569635
1.53261859,0.807372606
1.534238019,0.808376186
1.536127353,0.809379815
1.538286592,0.810684479
1.540985641,0.811587925
1.542605071,0.812591505
1.544494405,0.813595134
1.546383739,0.814598763
1.547733263,0.815602295
1.550432312,0.816505741
1.552591551,0.81730876
1.55475079,0.818312438
1.55637022,0.819617005
1.559339173,0.820620828
1.561498412,0.821524176
1.563657651,0.822226867
1.5663567,0.823431299
1.568515939,0.824434977
1.570675178,0.825338325
1.572564512,0.826141296
1.574723751,0.827044645
1.577152895,0.827948042
1.57904223,0.828751013
1.581201469,0.829453704
1.583360708,0.830056065
1.585519947,0.830658427
1.587679186,0.831461447
1.589838425,0.832264466
1.592537474,0.832866925
1.593617093,0.833770079
1.596855952,0.834372635
1.599824905,0.835276129
1.602523954,0.836279904
1.604413288,0.837183204
1.607112337,0.837685334
1.609541481,0.838488402
1.61278034,0.839692931
1.615209484,0.840495999
1.617638628,0.841098409
1.620607581,0.841700917
1.62330663,0.842504033
1.624926059,0.843106298
1.628704728,0.84380928
1.631673681,0.844512116
1.634642635,0.84541561
1.637881494,0.846118495
1.641120352,0.84672105
1.644089306,0.847022571
1.646788355,0.847725358
1.649217499,0.848327769
1.652186452,0.848930276
1.655695216,0.84953288
1.658934074,0.849834449
1.662442838,0.850236396
1.664871982,0.850939135
1.66811084,0.851541691
1.671619604,0.851943637
