BRU_LE4OLV_0,
W,R
1.646,0.798451
1.647,0.79915
1.648,0.79986
1.649,0.799901
1.65,0.800608
1.651,0.80102
1.652,0.801672
1.653,0.802242
1.654,0.802394
1.655,0.803415
1.656,0.803308
1.657,0.802991
1.658,0.804041
1.659,0.804239
1.66,0.804548
1.661,0.805306
1.662,0.805519
1.663,0.805945
1.664,0.806261
1.665,0.805866
1.666,0.80668
1.667,0.807472
1.668,0.807994
1.669,0.809105
1.67,0.808824
1.671,0.80934
1.672,0.809864
1.673,0.810285
1.674,0.811001
1.675,0.810783
1.676,0.81122
1.677,0.811654
1.678,0.812379
1.679,0.812646
1.68,0.813401
1.681,0.813109
1.682,0.813788
1.683,0.814412
1.684,0.813808
1.685,0.814194
1.686,0.815119
1.687,0.815959
1.688,0.815913
1.689,0.815421
1.69,0.816345
1.691,0.816251
1.692,0.816413
1.693,0.817512
1.694,0.816591
1.695,0.817352
1.696,0.81868
1.697,0.817799
1.698,0.818244
1.699,0.819535
1.7,0.820496
1.701,0.821802
1.702,0.820633
1.703,0.819581
1.704,0.821276
1.705,0.820937
1.706,0.821495
1.707,0.822275
1.708,0.822184
1.709,0.822421
1.71,0.822889
1.711,0.821806
1.712,0.821851
1.713,0.821572
1.714,0.82369
1.715,0.825211
1.716,0.823527
1.717,0.825498
1.718,0.825794
1.719,0.824869
1.72,0.824851
1.721,0.826788
1.722,0.825503
1.723,0.826444
1.724,0.826697
1.725,0.825486
1.726,0.825664
1.727,0.827232
1.728,0.825887
1.729,0.826953
1.73,0.828573
1.731,0.82834
1.732,0.82771
1.733,0.826962
1.734,0.827262
1.735,0.828273
1.736,0.828208
1.737,0.828893
1.738,0.827833
1.739,0.82701
1.74,0.827861
1.741,0.827524
1.742,0.828273
1.743,0.828739
1.744,0.828403
1.745,0.828881
1.746,0.828512
1.747,0.828259
1.748,0.828405
1.749,0.828997
1.75,0.827764
1.751,0.829334
1.752,0.829555
1.753,0.829356
1.754,0.829181
1.755,0.829019
1.756,0.828857
1.757,0.829679
1.758,0.830357
1.759,0.830846
1.76,0.829845
1.761,0.82911
1.762,0.829585
1.763,0.830075
1.764,0.830628
1.765,0.830664
1.766,0.830703
1.767,0.831441
1.768,0.830375
1.769,0.829974
1.77,0.831498
1.771,0.832137
1.772,0.831232
1.773,0.831222
1.774,0.830869
1.775,0.831032
1.776,0.83146
1.777,0.831307
1.778,0.830915
1.779,0.832027
1.78,0.832409
1.781,0.833073
1.782,0.832604
1.783,0.832909
1.784,0.831906
1.785,0.831743
1.786,0.832413
1.787,0.832163
1.788,0.832794
1.789,0.833633
1.79,0.833716
1.791,0.833807
1.792,0.833459
1.793,0.83339
1.794,0.833598
1.795,0.83368
1.796,0.833865
