KC-OPX-hem_1,
W,R
0.85452,0.27119
0.85508,0.27057
0.85564,0.26989
0.85621,0.2692
0.85678,0.26846
0.85734,0.26776
0.85791,0.26713
0.85848,0.26646
0.85905,0.26586
0.85962,0.26516
0.86019,0.26459
0.86076,0.2641
0.86133,0.26344
0.8619,0.26291
0.86248,0.26249
0.86305,0.26191
0.86362,0.26113
0.8642,0.2605
0.86478,0.25995
0.86535,0.25953
0.86593,0.25909
0.86651,0.25835
0.86709,0.25761
0.86767,0.25704
0.86825,0.25662
0.86883,0.25621
0.86942,0.25563
0.87,0.25498
0.87058,0.25434
0.87117,0.25381
0.87176,0.25331
0.87234,0.2528
0.87293,0.25224
0.87352,0.25174
0.87411,0.25134
0.8747,0.25084
0.87529,0.25031
0.87588,0.24985
0.87647,0.24943
0.87706,0.24888
0.87766,0.24827
0.87825,0.24786
0.87885,0.24744
0.87944,0.2469
0.88004,0.24635
0.88064,0.24595
0.88124,0.24577
0.88184,0.2455
0.88244,0.24501
0.88304,0.24444
0.88364,0.24393
0.88424,0.24354
0.88485,0.24323
0.88545,0.24298
0.88606,0.24255
0.88666,0.24206
0.88727,0.24175
0.88788,0.24145
0.88849,0.24115
0.8891,0.24078
0.88971,0.2403
0.89032,0.23987
0.89093,0.23965
0.89154,0.23959
0.89215,0.23933
0.89277,0.23887
0.89338,0.2385
0.894,0.23815
0.89462,0.23786
0.89524,0.23761
0.89585,0.23737
0.89647,0.23708
0.89709,0.23678
0.89772,0.2365
0.89834,0.23616
0.89896,0.23591
0.89958,0.23581
0.90021,0.23569
0.90083,0.23547
0.90146,0.23529
0.90209,0.23513
0.90272,0.23482
0.90335,0.23452
0.90398,0.23431
0.90461,0.23412
0.90524,0.23408
0.90587,0.23409
0.9065,0.23396
0.90714,0.23373
0.90777,0.23357
0.90841,0.23347
0.90905,0.23335
0.90968,0.23324
0.91032,0.23313
0.91096,0.23306
0.9116,0.23302
0.91225,0.23293
0.91289,0.23286
0.91353,0.23279
0.91418,0.23273
0.91482,0.23279
0.91547,0.23276
0.91611,0.23269
0.91676,0.23267
0.91741,0.23257
0.91806,0.23249
0.91871,0.23258
0.91936,0.23267
0.92001,0.23276
0.92067,0.23287
0.92132,0.23298
0.92198,0.23309
0.92263,0.23321
0.92329,0.23326
0.92395,0.23329
0.92461,0.23338
0.92527,0.2335
0.92593,0.23366
0.92659,0.23387
0.92725,0.23403
0.92792,0.23411
0.92858,0.23416
0.92925,0.23428
0.92991,0.2345
0.93058,0.23471
0.93125,0.23488
0.93192,0.23506
0.93259,0.23527
0.93326,0.23545
0.93393,0.23564
0.93461,0.23591
0.93528,0.23619
0.93596,0.23643
0.93663,0.23661
0.93731,0.23684
0.93799,0.23706
0.93867,0.23727
0.93935,0.23756
0.94003,0.2379
0.94071,0.23822
0.9414,0.23854
0.94208,0.23895
0.94276,0.23933
0.94345,0.23959
0.94414,0.23996
0.94483,0.24034
0.94551,0.24064
0.94621,0.24095
0.9469,0.24127
0.94759,0.24168
0.94828,0.2421
0.94898,0.24247
0.94967,0.24286
0.95037,0.2433
0.95106,0.24373
0.95176,0.24415
0.95246,0.24459
0.95316,0.24515
0.95386,0.24574
0.95457,0.2463
0.95527,0.24685
0.95597,0.24738
0.95668,0.24794
0.95739,0.24846
0.95809,0.24893
0.9588,0.24948
0.95951,0.25008
0.96022,0.25067
0.96094,0.25125
0.96165,0.25186
0.96236,0.25249
0.96308,0.25313
0.96379,0.25379
0.96451,0.25452
0.96523,0.25521
0.96595,0.25586
0.96667,0.25659
0.96739,0.25733
0.96811,0.25805
0.96883,0.25875
0.96956,0.25944
0.97029,0.26014
0.97101,0.26086
0.97174,0.26158
0.97247,0.26234
0.9732,0.26315
0.97393,0.26396
0.97466,0.26481
0.9754,0.26574
0.97613,0.26665
0.97687,0.26747
0.9776,0.26827
0.97834,0.26908
0.97908,0.26989
0.97982,0.27072
0.98056,0.27158
0.9813,0.27242
0.98205,0.27324
0.98279,0.27412
0.98354,0.27504
0.98428,0.27594
0.98503,0.27692
0.98578,0.27802
0.98653,0.27911
0.98728,0.28017
0.98803,0.28121
0.98879,0.28216
0.98954,0.28314
0.9903,0.28412
0.99106,0.28513
0.99181,0.28618
0.99257,0.28728
0.99333,0.28833
0.9941,0.28939
0.99486,0.29055
0.99562,0.29165
0.99639,0.29263
0.99715,0.2936
0.99792,0.29464
0.99869,0.29573
