SM-Eifel,
W,R
1.104048186,0.17434562
1.105353042,0.175013355
1.10926761,0.175347222
1.110572466,0.176014957
1.113182179,0.17701656
1.115791891,0.177684295
1.118256658,0.177598768
1.118401603,0.17835203
1.121011316,0.179019765
1.123621028,0.179019765
1.124925884,0.1796875
1.128840453,0.18102297
1.131450165,0.181356838
1.132755021,0.18235844
1.135364733,0.182692308
1.137974446,0.183360043
1.141889014,0.18369391
1.144498726,0.18369391
1.147108439,0.18502938
1.147108439,0.185697115
1.149718151,0.186030983
1.152327863,0.186698718
1.154937576,0.186698718
1.157547288,0.187032585
1.161461856,0.187700321
1.162766713,0.188034188
1.165376425,0.188701923
1.169290993,0.189703526
1.175505199,0.189704487
1.175815274,0.190037393
1.178424986,0.190037393
1.181034699,0.191038996
1.183644411,0.191706731
1.186254123,0.191706731
1.188863836,0.192040598
1.190168692,0.192708333
1.19408326,0.193709936
1.195388116,0.194377671
1.195388116,0.194377671
1.196692973,0.195045406
1.201912397,0.195045406
1.207131822,0.195713141
1.209741534,0.196714744
1.212351246,0.197382479
1.216265815,0.198050214
1.221485239,0.198384081
1.226704664,0.199051816
1.22800952,0.199051816
1.233228945,0.199719551
1.234488545,0.199792587
1.243667794,0.201055021
1.24497265,0.201722756
1.246277506,0.202390491
1.247582363,0.202390491
1.250192075,0.203725962
1.255411499,0.203725962
1.255411499,0.204393697
1.259326068,0.205061432
1.26193578,0.205729167
1.264545493,0.205729167
1.269764917,0.206396902
1.273679486,0.207064637
1.27889891,0.208066239
1.27889891,0.209067842
1.282813479,0.209735577
1.290002282,0.210290263
1.293252328,0.211738782
1.297166896,0.213074252
1.303691177,0.213741987
1.311520314,0.214075855
1.316739739,0.215745192
1.320654307,0.217080662
1.325873732,0.218416132
1.3297883,0.219417735
1.333702869,0.220419338
1.336312581,0.222088675
1.342046411,0.222652219
1.345446574,0.224425748
1.349361142,0.225093483
1.350665999,0.226428953
1.353275711,0.227430556
1.359799992,0.229099893
1.36371456,0.231103098
1.367629129,0.231770833
1.371543697,0.233106303
1.375458265,0.234441774
1.378067978,0.235109509
1.381982546,0.235777244
1.385897115,0.236444979
1.389811683,0.237780449
1.389811683,0.237780449
1.396692745,0.238587381
1.400250532,0.240451389
1.400250532,0.241452991
1.404165101,0.242120726
1.409384525,0.243122329
1.41460395,0.244123932
1.415908806,0.245125534
1.418518519,0.246127137
1.421128231,0.247128739
1.426347655,0.247796474
1.43156708,0.249131944
1.436786505,0.250467415
1.439396217,0.251802885
1.443310785,0.25247062
1.446134668,0.252835812
1.451139922,0.254807692
1.452444778,0.256143162
1.458969059,0.257478632
1.461578772,0.258480235
1.464188484,0.259815705
1.468103052,0.26048344
1.470712765,0.26181891
1.474627333,0.262486645
1.477237045,0.26315438
1.479846758,0.264155983
1.48245647,0.265157585
1.488980751,0.266159188
1.490938035,0.26788417
1.491590463,0.267160791
1.496374936,0.268997062
1.497462316,0.269831731
1.499637076,0.270388177
1.503986597,0.270944623
1.508336117,0.272057514
1.513773018,0.273448629
1.517035158,0.274005075
1.519209918,0.275674412
1.523559439,0.276787304
1.526821579,0.27734375
1.53225848,0.278178419
1.536608,0.279013088
1.539870141,0.279291311
1.543132281,0.280125979
1.547481802,0.280682425
1.550222925,0.281284252
1.551831322,0.282351763
1.554006082,0.283464655
1.557268223,0.2840211
1.560530363,0.284577546
1.562705123,0.285133992
1.569229404,0.285690438
1.573578925,0.286525107
1.577928445,0.286525107
1.579015825,0.287081553
1.583365346,0.287359776
1.584452726,0.287916222
1.586627486,0.287916222
1.590977007,0.287916222
1.597501287,0.287916222
1.600763428,0.287916222
1.607471466,0.288063455
1.609462469,0.288194444
1.612724609,0.288472667
1.61707413,0.288472667
1.61924889,0.289029113
1.623598411,0.289585559
1.627947931,0.289585559
1.630122691,0.289585559
1.634472212,0.289585559
1.638821732,0.289585559
1.642083873,0.289585559
1.646433393,0.289585559
1.650782914,0.289863782
1.654045054,0.289863782
1.658394575,0.289585559
1.664720007,0.289031912
1.667093616,0.288472667
1.671443136,0.289029113
1.675792657,0.289307336
1.680142177,0.289585559
