KC-OPX-hm_5,
W,R
0.77253,0.3045
0.77299,0.30478
0.77345,0.30506
0.77391,0.30469
0.77437,0.30457
0.77484,0.30488
0.7753,0.30478
0.77576,0.30431
0.77623,0.30432
0.77669,0.30458
0.77716,0.30432
0.77762,0.30422
0.77809,0.30438
0.77856,0.30424
0.77903,0.30393
0.7795,0.30356
0.77996,0.30342
0.78043,0.30312
0.7809,0.30245
0.78138,0.30216
0.78185,0.30218
0.78232,0.30195
0.78279,0.3016
0.78326,0.30131
0.78374,0.301
0.78421,0.30078
0.78469,0.30043
0.78516,0.30008
0.78564,0.30012
0.78611,0.30022
0.78659,0.30028
0.78707,0.30032
0.78755,0.30006
0.78803,0.29938
0.7885,0.29871
0.78898,0.29865
0.78946,0.29856
0.78995,0.29785
0.79043,0.29751
0.79091,0.29742
0.79139,0.29675
0.79188,0.29635
0.79236,0.29641
0.79284,0.29633
0.79333,0.29621
0.79382,0.29585
0.7943,0.29546
0.79479,0.295
0.79528,0.29447
0.79576,0.29423
0.79625,0.29397
0.79674,0.29344
0.79723,0.29288
0.79772,0.29252
0.79822,0.29223
0.79871,0.29204
0.7992,0.2917
0.79969,0.29086
0.80019,0.29001
0.80068,0.28943
0.80117,0.28929
0.80167,0.28939
0.80217,0.28906
0.80266,0.28824
0.80316,0.28777
0.80366,0.2879
0.80416,0.28755
0.80466,0.287
0.80516,0.2867
0.80566,0.28607
0.80616,0.28545
0.80666,0.28527
0.80716,0.28513
0.80766,0.28441
0.80817,0.28361
0.80867,0.28313
0.80918,0.28263
0.80968,0.28206
0.81019,0.28151
0.81069,0.28121
0.8112,0.28065
0.81171,0.27987
0.81222,0.27934
0.81273,0.27893
0.81324,0.27871
0.81375,0.27821
0.81426,0.27747
0.81477,0.27693
0.81528,0.27649
0.8158,0.27605
0.81631,0.27506
0.81682,0.27404
0.81734,0.27385
0.81786,0.27366
0.81837,0.2732
0.81889,0.27289
0.81941,0.2724
0.81992,0.27164
0.82044,0.27113
0.82096,0.2708
0.82148,0.27041
0.822,0.26987
0.82253,0.26921
0.82305,0.26844
0.82357,0.26775
0.82409,0.26747
0.82462,0.26665
0.82514,0.2656
0.82567,0.26535
0.8262,0.26497
0.82672,0.26442
0.82725,0.2642
0.82778,0.26372
0.82831,0.2629
0.82884,0.26219
0.82937,0.26186
0.8299,0.26143
0.83043,0.26069
0.83096,0.25998
0.8315,0.25905
0.83203,0.2582
0.83256,0.25795
0.8331,0.25753
0.83363,0.25662
0.83417,0.25602
0.83471,0.25597
0.83525,0.25577
0.83578,0.25499
0.83632,0.25427
0.83686,0.25385
0.8374,0.25341
0.83794,0.25285
0.83849,0.25243
0.83903,0.25226
0.83957,0.25173
0.84012,0.25097
0.84066,0.25053
0.84121,0.25005
0.84175,0.24937
0.8423,0.24893
0.84285,0.24859
0.8434,0.24774
0.84395,0.2468
0.8445,0.24629
0.84505,0.24589
0.8456,0.24539
0.84615,0.24473
0.8467,0.24414
0.84726,0.24377
0.84781,0.24338
0.84836,0.24278
0.84892,0.24201
0.84948,0.24158
0.85003,0.24134
0.85059,0.24064
0.85115,0.23973
0.85171,0.23907
0.85227,0.2387
0.85283,0.23831
0.85339,0.23784
0.85395,0.23733
0.85452,0.23691
0.85508,0.23653
0.85564,0.23589
0.85621,0.23518
0.85678,0.23472
0.85734,0.23443
0.85791,0.23409
0.85848,0.23346
0.85905,0.23263
0.85962,0.23196
0.86019,0.23157
0.86076,0.2313
0.86133,0.23105
0.8619,0.23068
0.86248,0.23023
0.86305,0.22977
0.86362,0.22915
0.8642,0.22862
0.86478,0.22807
0.86535,0.22755
0.86593,0.22732
0.86651,0.22715
0.86709,0.22683
0.86767,0.22634
0.86825,0.22576
0.86883,0.22524
0.86942,0.22488
0.87,0.2244
0.87058,0.22386
0.87117,0.22345
0.87176,0.22299
0.87234,0.2226
0.87293,0.22229
0.87352,0.22187
0.87411,0.22143
0.8747,0.22115
0.87529,0.22087
0.87588,0.22054
0.87647,0.22038
0.87706,0.22002
0.87766,0.21944
0.87825,0.21893
0.87885,0.21854
0.87944,0.21834
0.88004,0.21797
0.88064,0.2176
0.88124,0.21755
0.88184,0.21734
0.88244,0.21699
0.88304,0.21672
0.88364,0.21639
0.88424,0.2159
0.88485,0.21547
0.88545,0.21532
0.88606,0.21523
0.88666,0.21493
0.88727,0.21454
0.88788,0.21421
0.88849,0.21392
0.8891,0.21364
0.88971,0.21328
0.89032,0.21293
0.89093,0.21278
0.89154,0.21262
0.89215,0.21231
0.89277,0.21191
0.89338,0.21164
0.894,0.21158
0.89462,0.21146
0.89524,0.21123
0.89585,0.21097
0.89647,0.21075
0.89709,0.21067
0.89772,0.21057
0.89834,0.21038
0.89896,0.21013
0.89958,0.20991
0.90021,0.20971
0.90083,0.20954
0.90146,0.20948
0.90209,0.20946
0.90272,0.20936
0.90335,0.20912
0.90398,0.20889
0.90461,0.2088
0.90524,0.20875
0.90587,0.20873
0.9065,0.20865
0.90714,0.20848
0.90777,0.20836
0.90841,0.2083
0.90905,0.20828
0.90968,0.20825
0.91032,0.20811
0.91096,0.20803
0.9116,0.20814
0.91225,0.20824
0.91289,0.20821
0.91353,0.20819
0.91418,0.20829
0.91482,0.20841
0.91547,0.20844
0.91611,0.20837
0.91676,0.20832
0.91741,0.20835
0.91806,0.20843
0.91871,0.20845
0.91936,0.20848
0.92001,0.2086
0.92067,0.20874
0.92132,0.20883
0.92198,0.20881
0.92263,0.20888
0.92329,0.2091
0.92395,0.2092
0.92461,0.20927
0.92527,0.20947
0.92593,0.20958
0.92659,0.20962
0.92725,0.20972
0.92792,0.20983
0.92858,0.20992
0.92925,0.20998
0.92991,0.21008
0.93058,0.21029
0.93125,0.2105
0.93192,0.21066
0.93259,0.21088
0.93326,0.21112
0.93393,0.21131
0.93461,0.21148
0.93528,0.21171
0.93596,0.21196
0.93663,0.21219
0.93731,0.21244
0.93799,0.21272
0.93867,0.21304
0.93935,0.2134
0.94003,0.21377
0.94071,0.2141
0.9414,0.21437
0.94208,0.2147
0.94276,0.21512
0.94345,0.21551
0.94414,0.21588
0.94483,0.21623
0.94551,0.21661
0.94621,0.21701
0.9469,0.21746
0.94759,0.21794
0.94828,0.21836
0.94898,0.21883
0.94967,0.21931
0.95037,0.21971
0.95106,0.22003
0.95176,0.22033
0.95246,0.22067
0.95316,0.2211
0.95386,0.22163
0.95457,0.22218
0.95527,0.22269
0.95597,0.22324
0.95668,0.22386
0.95739,0.22449
0.95809,0.22506
0.9588,0.22561
0.95951,0.22619
0.96022,0.22672
0.96094,0.22721
0.96165,0.22772
0.96236,0.22827
0.96308,0.22888
0.96379,0.22952
0.96451,0.23017
0.96523,0.23084
0.96595,0.23149
0.96667,0.23216
0.96739,0.23286
0.96811,0.23357
0.96883,0.23421
0.96956,0.23485
0.97029,0.2355
0.97101,0.23614
0.97174,0.23685
0.97247,0.23767
0.9732,0.23848
0.97393,0.23921
0.97466,0.23998
0.9754,0.24084
0.97613,0.24167
0.97687,0.24242
0.9776,0.24315
0.97834,0.24389
0.97908,0.24466
0.97982,0.24549
0.98056,0.24644
0.9813,0.24738
0.98205,0.24819
0.98279,0.249
0.98354,0.24988
0.98428,0.25079
0.98503,0.25169
0.98578,0.25259
0.98653,0.25346
0.98728,0.25435
0.98803,0.25526
0.98879,0.25615
0.98954,0.25705
0.9903,0.25794
0.99106,0.25885
0.99181,0.25977
0.99257,0.2607
0.99333,0.26164
0.9941,0.2626
0.99486,0.26358
0.99562,0.26453
0.99639,0.26548
0.99715,0.26648
0.99792,0.26757
0.99869,0.26867
0.99946,0.26979
1.0002,0.27092
1.001,0.27206
1.0018,0.27315
1.0026,0.27418
1.0033,0.27525
1.0041,0.27632
1.0047,0.27635
1.0049,0.27802
1.0051,0.28053
1.0053,0.28123
1.0055,0.27905
1.0057,0.27733
1.0059,0.27768
1.0061,0.27869
1.0062,0.27987
1.0064,0.28119
1.0066,0.28222
1.0068,0.28261
1.007,0.28149
1.0072,0.27951
1.0074,0.27914
1.0076,0.28012
1.0078,0.27975
1.008,0.27834
1.0082,0.27847
1.0084,0.27999
1.0086,0.28087
1.0088,0.28127
1.009,0.28239
1.0092,0.28304
1.0094,0.28214
1.0096,0.28165
1.0098,0.28296
1.01,0.2849
1.0102,0.28653
1.0104,0.28718
1.0106,0.28598
1.0108,0.28394
1.011,0.2827
1.0112,0.28237
1.0114,0.28259
1.0115,0.28319
1.0117,0.28414
1.0119,0.28548
1.0121,0.28666
1.0123,0.28741
1.0125,0.28827
1.0127,0.28883
1.0129,0.28889
1.0131,0.28967
1.0133,0.2908
1.0135,0.29047
1.0137,0.28892
1.0139,0.288
1.0141,0.28862
1.0143,0.29004
1.0145,0.29107
1.0147,0.29217
1.0149,0.29378
1.0151,0.29448
1.0153,0.29411
1.0155,0.29399
1.0157,0.29368
1.0159,0.29298
1.0161,0.29299
1.0163,0.29316
1.0165,0.29288
1.0167,0.29308
1.0169,0.29384
1.0171,0.29471
1.0173,0.29552
1.0175,0.29587
1.0177,0.29649
1.0179,0.298
1.0181,0.29901
1.0183,0.29919
1.0185,0.29961
1.0187,0.29964
1.0189,0.29911
1.0191,0.29907
1.0193,0.29879
1.0195,0.29745
1.0197,0.29647
1.0199,0.29713
1.0201,0.29884
1.0203,0.30022
1.0205,0.30057
1.0207,0.30036
1.0209,0.30024
1.0211,0.30027
1.0213,0.30044
1.0215,0.30099
1.0217,0.30272
1.0219,0.30491
1.0221,0.30473
1.0223,0.30273
1.0225,0.30263
1.0227,0.30398
1.0229,0.30404
1.0231,0.30383
1.0233,0.30469
1.0235,0.30605
