ZK-Eif_0,
W,R
1.433,0.96124
1.434,0.96178
1.435,0.96225
1.436,0.96317
1.437,0.96341
1.438,0.96309
1.439,0.96325
1.44,0.96451
1.441,0.96554
1.442,0.96638
1.443,0.9672
1.444,0.96759
1.445,0.96736
1.446,0.96708
1.447,0.96734
1.448,0.96743
1.449,0.96758
1.45,0.96808
1.451,0.96917
1.452,0.96981
1.453,0.9702
1.454,0.97134
1.455,0.97118
1.456,0.9701
1.457,0.97077
1.458,0.9714
1.459,0.9714
1.46,0.97117
1.461,0.97184
1.462,0.97221
1.463,0.97239
1.464,0.973
1.465,0.97251
1.466,0.9724
1.467,0.97338
1.468,0.97404
1.469,0.97393
1.47,0.97383
1.471,0.97353
1.472,0.97406
1.473,0.97508
1.474,0.97472
1.475,0.9747
1.476,0.97491
1.477,0.97565
1.478,0.97532
1.479,0.97496
1.48,0.97436
1.481,0.97371
1.482,0.97399
1.483,0.97471
1.484,0.97534
1.485,0.97544
1.486,0.97549
1.487,0.97527
1.488,0.97517
1.489,0.97434
1.49,0.97491
1.491,0.97499
1.492,0.97497
1.493,0.97522
1.494,0.97518
1.495,0.9747
1.496,0.97457
1.497,0.97383
1.498,0.97402
1.499,0.97418
1.5,0.97364
1.501,0.97396
1.502,0.97436
1.503,0.97435
1.504,0.97437
1.505,0.97495
1.506,0.97507
1.507,0.97409
1.508,0.97281
1.509,0.97286
1.51,0.97269
1.511,0.97238
1.512,0.97216
1.513,0.97303
1.514,0.97344
1.515,0.97353
1.516,0.97356
1.517,0.97271
1.518,0.9712
1.519,0.9722
1.52,0.97289
1.521,0.97298
1.522,0.97217
1.523,0.97122
1.524,0.97062
1.525,0.97121
1.526,0.97218
1.527,0.97197
1.528,0.97215
1.529,0.97158
1.53,0.97104
1.531,0.97034
1.532,0.97042
1.533,0.97091
1.534,0.97077
1.535,0.9696
1.536,0.96944
1.537,0.97032
1.538,0.96949
1.539,0.96937
1.54,0.96906
1.541,0.96942
1.542,0.96925
1.543,0.96867
1.544,0.96879
1.545,0.96939
1.546,0.9692
1.547,0.96783
1.548,0.96733
1.549,0.96816
1.55,0.96905
1.551,0.96884
1.552,0.96761
1.553,0.96777
1.554,0.96811
1.555,0.9683
1.556,0.9675
1.557,0.96686
1.558,0.96717
1.559,0.96703
1.56,0.96628
1.561,0.96635
1.562,0.96687
1.563,0.9663
1.564,0.96564
1.565,0.96556
1.566,0.96569
1.567,0.96526
1.568,0.96504
1.569,0.9663
1.57,0.96573
1.571,0.96452
1.572,0.96467
1.573,0.96495
1.574,0.96435
1.575,0.96381
1.576,0.96449
1.577,0.96405
1.578,0.96368
1.579,0.96314
1.58,0.96284
1.581,0.96186
1.582,0.96192
1.583,0.96256
1.584,0.96255
1.585,0.9622
1.586,0.96114
1.587,0.96104
1.588,0.96082
1.589,0.96029
1.59,0.96002
1.591,0.96113
1.592,0.96095
1.593,0.95984
1.594,0.959
1.595,0.95972
1.596,0.95977
1.597,0.95867
1.598,0.95857
1.599,0.95868
1.6,0.95825
1.601,0.95796
1.602,0.95777
1.603,0.95704
1.604,0.95624
1.605,0.95671
1.606,0.95685
1.607,0.95662
1.608,0.95659
1.609,0.95642
1.61,0.95562
1.611,0.95519
1.612,0.95509
1.613,0.95452
1.614,0.95408
1.615,0.95354
1.616,0.95421
1.617,0.95375
1.618,0.95295
1.619,0.9527
1.62,0.95282
1.621,0.95262
1.622,0.95169
1.623,0.95144
1.624,0.95109
1.625,0.95088
1.626,0.95109
1.627,0.95062
1.628,0.95053
1.629,0.95017
1.63,0.95037
1.631,0.95087
1.632,0.95009
1.633,0.94976
1.634,0.94933
1.635,0.94822
1.636,0.94801
1.637,0.94751
1.638,0.94721
1.639,0.94798
1.64,0.94771
1.641,0.94642
1.642,0.94614
1.643,0.94699
1.644,0.94715
1.645,0.94601
1.646,0.94591
1.647,0.9461
1.648,0.94627
1.649,0.94567
1.65,0.94462
1.651,0.94454
1.652,0.94482
1.653,0.94481
1.654,0.94497
1.655,0.94512
1.656,0.94479
1.657,0.9445
1.658,0.9446
1.659,0.94454
1.66,0.94363
1.661,0.94312
1.662,0.94317
1.663,0.94304
1.664,0.94209
1.665,0.93959
1.666,0.94039
1.667,0.94587
1.668,0.95024
1.669,0.94921
1.67,0.94841
1.671,0.94934
1.672,0.94873
1.673,0.94775
1.674,0.94898
1.675,0.9497
1.676,0.94978
1.677,0.9498
1.678,0.94909
1.679,0.94877
1.68,0.94864
1.681,0.94864
1.682,0.94867
1.683,0.94929
1.684,0.94933
1.685,0.94911
1.686,0.94929
1.687,0.94981
1.688,0.94987
1.689,0.94958
1.69,0.9496
1.691,0.94943
1.692,0.94906
1.693,0.94936
1.694,0.94913
1.695,0.94918
1.696,0.94896
1.697,0.94856
1.698,0.94919
1.699,0.94836
1.7,0.9484
1.701,0.94946
1.702,0.9489
1.703,0.94858
1.704,0.94869
1.705,0.94829
1.706,0.94752
1.707,0.9472
1.708,0.94689
1.709,0.94684
1.71,0.94758
1.711,0.94712
1.712,0.94625
1.713,0.94623
1.714,0.94569
1.715,0.94553
1.716,0.94501
1.717,0.94424
1.718,0.94374
1.719,0.94422
1.72,0.94362
1.721,0.94149
1.722,0.9414
1.723,0.942
1.724,0.94149
1.725,0.94132
1.726,0.94136
1.727,0.94063
1.728,0.94068
1.729,0.94053
1.73,0.94061
1.731,0.94071
1.732,0.94006
1.733,0.93917
1.734,0.93953
1.735,0.93884
1.736,0.93857
1.737,0.93931
1.738,0.93958
1.739,0.93886
1.74,0.93826
1.741,0.93807
1.742,0.93876
1.743,0.93814
1.744,0.9375
1.745,0.93739
1.746,0.93772
1.747,0.93793
1.748,0.93729
1.749,0.93661
1.75,0.93672
1.751,0.93723
1.752,0.93706
1.753,0.93751
1.754,0.93673
1.755,0.93609
1.756,0.93553
1.757,0.93491
1.758,0.93525
1.759,0.93517
1.76,0.93466
1.761,0.93464
1.762,0.93447
1.763,0.93489
1.764,0.93583
1.765,0.93482
1.766,0.93322
1.767,0.93201
1.768,0.93194
1.769,0.93246
1.77,0.93328
1.771,0.93373
1.772,0.93298
1.773,0.93272
1.774,0.93299
1.775,0.93303
1.776,0.932
1.777,0.93086
1.778,0.93118
1.779,0.93159
1.78,0.93107
1.781,0.93077
1.782,0.93063
1.783,0.93047
1.784,0.93015
1.785,0.9295
1.786,0.92919
1.787,0.92936
1.788,0.93014
1.789,0.93063
1.79,0.93117
1.791,0.93185
1.792,0.93186
1.793,0.93275
1.794,0.93338
1.795,0.93387
1.796,0.93487
1.797,0.93493
1.798,0.93554
1.799,0.93506
1.8,0.93532
1.801,0.93649
1.802,0.93766
1.803,0.93826
1.804,0.93908
1.805,0.93923
1.806,0.94009
1.807,0.94169
1.808,0.94204
1.809,0.94249
1.81,0.94362
1.811,0.94521
1.812,0.94575
1.813,0.94587
1.814,0.94655
1.815,0.94639
1.816,0.94502
1.817,0.94482
1.818,0.94507
1.819,0.94454
1.82,0.94407
1.821,0.94432
1.822,0.94415
1.823,0.94371
1.824,0.94346
1.825,0.94402
1.826,0.944
1.827,0.94435
1.828,0.94388
1.829,0.94291
1.83,0.94295
1.831,0.94336
1.832,0.94388
1.833,0.94346
1.834,0.94311
1.835,0.94304
1.836,0.94314
1.837,0.94422
1.838,0.94333
1.839,0.9428
1.84,0.94293
1.841,0.94338
1.842,0.94269
1.843,0.94271
1.844,0.94323
1.845,0.94291
1.846,0.9427
1.847,0.94348
1.848,0.94241
1.849,0.94175
1.85,0.94152
1.851,0.94137
1.852,0.94112
1.853,0.94136
1.854,0.94178
1.855,0.94187
1.856,0.94264
1.857,0.94406
1.858,0.94502
1.859,0.94458
1.86,0.94573
1.861,0.94792
1.862,0.94852
1.863,0.94892
1.864,0.94977
1.865,0.94986
1.866,0.94999
1.867,0.95082
1.868,0.95021
1.869,0.94979
1.87,0.95058
1.871,0.95015
