KC-OL-hm_4,
W,R
0.92263,0.58766
0.92329,0.58711
0.92395,0.58653
0.92461,0.58581
0.92527,0.5852
0.92593,0.5847
0.92659,0.5841
0.92725,0.58347
0.92792,0.58282
0.92858,0.58221
0.92925,0.58162
0.92991,0.58106
0.93058,0.58062
0.93125,0.58003
0.93192,0.57927
0.93259,0.57865
0.93326,0.57805
0.93393,0.57739
0.93461,0.57677
0.93528,0.57623
0.93596,0.57565
0.93663,0.57491
0.93731,0.57419
0.93799,0.57349
0.93867,0.5728
0.93935,0.57206
0.94003,0.57127
0.94071,0.57055
0.9414,0.56987
0.94208,0.5693
0.94276,0.56872
0.94345,0.56799
0.94414,0.56735
0.94483,0.56665
0.94551,0.5659
0.94621,0.56524
0.9469,0.56458
0.94759,0.56378
0.94828,0.56286
0.94898,0.56204
0.94967,0.56135
0.95037,0.56069
0.95106,0.55996
0.95176,0.55915
0.95246,0.55833
0.95316,0.55755
0.95386,0.55678
0.95457,0.55594
0.95527,0.5551
0.95597,0.5543
0.95668,0.55355
0.95739,0.5529
0.95809,0.55237
0.9588,0.55172
0.95951,0.55086
0.96022,0.54998
0.96094,0.54905
0.96165,0.54817
0.96236,0.54728
0.96308,0.54634
0.96379,0.54552
0.96451,0.54482
0.96523,0.54404
0.96595,0.54312
0.96667,0.54227
0.96739,0.54151
0.96811,0.5407
0.96883,0.53982
0.96956,0.53903
0.97029,0.5383
0.97101,0.53752
0.97174,0.53681
0.97247,0.53624
0.9732,0.53558
0.97393,0.53477
0.97466,0.53403
0.9754,0.53347
0.97613,0.53295
0.97687,0.53221
0.9776,0.53136
0.97834,0.53044
0.97908,0.5296
0.97982,0.52886
0.98056,0.52825
0.9813,0.5276
0.98205,0.52684
0.98279,0.52611
0.98354,0.52537
0.98428,0.52457
0.98503,0.52377
0.98578,0.52299
0.98653,0.52228
0.98728,0.52158
0.98803,0.5208
0.98879,0.51997
0.98954,0.51922
0.9903,0.51848
0.99106,0.51775
0.99181,0.51697
0.99257,0.51616
0.99333,0.51543
0.9941,0.51474
0.99486,0.51399
0.99562,0.51324
0.99639,0.51246
0.99715,0.51167
0.99792,0.51095
0.99869,0.51018
0.99946,0.50945
1.0002,0.50883
1.001,0.50829
1.0018,0.50776
1.0026,0.50715
1.0033,0.50656
1.0041,0.50597
1.0047,0.50598
1.0049,0.50563
1.0051,0.50535
1.0053,0.50419
1.0055,0.50259
1.0057,0.50136
1.0059,0.50021
1.0061,0.49972
1.0062,0.50038
1.0064,0.50065
1.0066,0.50013
1.0068,0.50042
1.007,0.50146
1.0072,0.502
1.0074,0.50215
1.0076,0.50223
1.0078,0.50198
1.008,0.50168
1.0082,0.50166
1.0084,0.50151
1.0086,0.50104
1.0088,0.50074
1.009,0.50102
1.0092,0.50151
1.0094,0.50164
1.0096,0.50125
