KC-OL-lvn_12,
W,R
0.77716,0.24418
0.77762,0.24419
0.77809,0.24435
0.77856,0.24445
0.77903,0.24443
0.7795,0.24422
0.77996,0.24396
0.78043,0.24386
0.7809,0.24386
0.78138,0.24394
0.78185,0.24388
0.78232,0.24372
0.78279,0.24359
0.78326,0.24352
0.78374,0.24344
0.78421,0.24335
0.78469,0.24339
0.78516,0.24347
0.78564,0.24348
0.78611,0.24343
0.78659,0.24341
0.78707,0.24342
0.78755,0.24338
0.78803,0.24334
0.7885,0.24331
0.78898,0.24327
0.78946,0.24323
0.78995,0.24319
0.79043,0.2432
0.79091,0.24321
0.79139,0.2431
0.79188,0.2429
0.79236,0.24285
0.79284,0.243
0.79333,0.24315
0.79382,0.24321
0.7943,0.24326
0.79479,0.24327
0.79528,0.24326
0.79576,0.2432
0.79625,0.24315
0.79674,0.24329
0.79723,0.24336
0.79772,0.2432
0.79822,0.24319
0.79871,0.24337
0.7992,0.24346
0.79969,0.24341
0.80019,0.24329
0.80068,0.24318
0.80117,0.24326
0.80167,0.24349
0.80217,0.24357
0.80266,0.24353
0.80316,0.24353
0.80366,0.24349
0.80416,0.2435
0.80466,0.24364
0.80516,0.24384
0.80566,0.24396
0.80616,0.24394
0.80666,0.24392
0.80716,0.24404
0.80766,0.24417
0.80817,0.24419
0.80867,0.24416
0.80918,0.24411
0.80968,0.24404
0.81019,0.24413
0.81069,0.24439
0.8112,0.24451
0.81171,0.24438
0.81222,0.24426
0.81273,0.24422
0.81324,0.24421
0.81375,0.24432
0.81426,0.24445
0.81477,0.24454
0.81528,0.24446
0.8158,0.24435
0.81631,0.2443
0.81682,0.24414
0.81734,0.24418
0.81786,0.2444
0.81837,0.24442
0.81889,0.24432
0.81941,0.24444
0.81992,0.24456
0.82044,0.24445
0.82096,0.24448
0.82148,0.24459
0.822,0.24456
0.82253,0.24443
0.82305,0.24448
0.82357,0.24473
0.82409,0.24479
0.82462,0.24474
0.82514,0.24475
0.82567,0.24473
0.8262,0.24466
0.82672,0.24462
0.82725,0.24459
0.82778,0.24445
0.82831,0.2445
0.82884,0.2446
0.82937,0.24459
0.8299,0.2446
0.83043,0.24462
0.83096,0.24472
0.8315,0.24474
0.83203,0.24469
0.83256,0.24472
0.8331,0.24478
0.83363,0.24479
0.83417,0.24473
0.83471,0.2448
0.83525,0.24484
0.83578,0.24476
0.83632,0.24464
0.83686,0.24451
0.8374,0.24464
0.83794,0.24484
0.83849,0.24495
0.83903,0.24501
0.83957,0.24493
0.84012,0.24498
0.84066,0.24513
0.84121,0.24516
0.84175,0.24518
0.8423,0.24523
0.84285,0.24523
0.8434,0.2451
0.84395,0.24502
0.8445,0.24517
0.84505,0.24525
0.8456,0.24524
0.84615,0.24526
0.8467,0.24528
0.84726,0.24533
0.84781,0.24539
0.84836,0.24534
0.84892,0.24523
0.84948,0.24536
0.85003,0.24556
0.85059,0.24557
0.85115,0.24554
0.85171,0.24551
0.85227,0.24553
0.85283,0.2455
0.85339,0.24549
0.85395,0.24557
0.85452,0.24548
0.85508,0.2454
0.85564,0.2455
0.85621,0.24552
0.85678,0.24544
0.85734,0.24555
0.85791,0.24572
0.85848,0.24565
0.85905,0.24554
0.85962,0.24539
0.86019,0.2454
0.86076,0.2457
0.86133,0.24589
0.8619,0.24602
0.86248,0.2461
0.86305,0.24611
0.86362,0.24609
0.8642,0.24604
0.86478,0.24603
0.86535,0.24608
0.86593,0.24612
0.86651,0.24615
0.86709,0.24616
0.86767,0.24618
0.86825,0.24621
0.86883,0.24621
0.86942,0.24621
0.87,0.24622
0.87058,0.24623
0.87117,0.24624
0.87176,0.24629
0.87234,0.24637
0.87293,0.24635
0.87352,0.24635
0.87411,0.24641
0.8747,0.24643
0.87529,0.24644
0.87588,0.24644
0.87647,0.24638
0.87706,0.24635
0.87766,0.24646
0.87825,0.24653
0.87885,0.2465
0.87944,0.24654
0.88004,0.24663
0.88064,0.24662
0.88124,0.24655
0.88184,0.24652
0.88244,0.24657
0.88304,0.24661
0.88364,0.24667
0.88424,0.24668
0.88485,0.24665
0.88545,0.24666
0.88606,0.24662
0.88666,0.24655
0.88727,0.24655
0.88788,0.24653
0.88849,0.24651
0.8891,0.24652
0.88971,0.24653
0.89032,0.24649
0.89093,0.24646
0.89154,0.24644
0.89215,0.24641
0.89277,0.24638
0.89338,0.24638
0.894,0.24641
0.89462,0.24646
0.89524,0.24651
0.89585,0.24649
0.89647,0.24647
0.89709,0.24644
0.89772,0.24639
0.89834,0.24641
0.89896,0.2464
0.89958,0.24637
0.90021,0.24635
0.90083,0.24633
0.90146,0.24626
0.90209,0.2462
0.90272,0.24619
0.90335,0.24617
0.90398,0.24608
0.90461,0.24601
0.90524,0.24598
0.90587,0.24594
0.9065,0.24589
0.90714,0.24584
0.90777,0.24574
0.90841,0.24563
0.90905,0.24561
0.90968,0.24564
0.91032,0.24562
0.91096,0.24552
0.9116,0.24548
0.91225,0.2455
0.91289,0.24541
0.91353,0.24526
0.91418,0.24518
0.91482,0.24512
0.91547,0.24504
0.91611,0.24495
0.91676,0.24487
0.91741,0.24484
0.91806,0.24483
0.91871,0.2448
0.91936,0.24472
0.92001,0.24463
0.92067,0.24459
0.92132,0.24453
0.92198,0.2444
0.92263,0.24428
0.92329,0.24416
0.92395,0.24403
0.92461,0.24392
0.92527,0.24384
0.92593,0.2438
0.92659,0.24375
0.92725,0.24367
0.92792,0.24358
0.92858,0.24349
0.92925,0.24334
0.92991,0.24319
0.93058,0.24307
0.93125,0.24299
0.93192,0.24292
0.93259,0.24284
0.93326,0.24272
0.93393,0.24258
0.93461,0.24242
0.93528,0.24227
0.93596,0.24213
0.93663,0.24202
0.93731,0.24192
0.93799,0.24178
0.93867,0.24163
0.93935,0.24147
0.94003,0.24132
0.94071,0.24115
0.9414,0.24101
0.94208,0.2409
0.94276,0.24077
0.94345,0.24059
0.94414,0.24045
0.94483,0.24034
0.94551,0.24022
0.94621,0.24007
0.9469,0.23992
0.94759,0.23973
0.94828,0.23954
0.94898,0.2394
0.94967,0.23926
0.95037,0.2391
0.95106,0.2389
0.95176,0.23872
