KC-Ol-arvn_1,
W,R
0.9962,0.48447
0.99662,0.48294
0.99705,0.4835
0.99747,0.48288
0.99789,0.48213
0.99831,0.48227
0.99874,0.48168
0.99916,0.48219
0.99958,0.4816
1.0013,0.48086
1.0028,0.48067
1.0044,0.47973
1.006,0.47887
1.0075,0.47748
1.0091,0.47428
1.0107,0.47155
1.0122,0.47067
1.0138,0.47006
1.0154,0.46835
1.017,0.46638
1.0186,0.46566
1.0202,0.46644
1.0218,0.4673
1.0234,0.46665
1.0251,0.46467
1.0267,0.4624
1.0283,0.4609
1.0299,0.46087
1.0316,0.46102
1.0332,0.4601
1.0349,0.45936
1.0365,0.45882
1.0382,0.45852
1.0399,0.45749
1.0415,0.45634
1.0432,0.45647
1.0449,0.45729
1.0466,0.45718
1.0483,0.45589
1.05,0.45407
1.0517,0.45241
1.0534,0.45188
1.0551,0.45238
1.0568,0.45329
1.0586,0.45431
1.0603,0.45504
1.062,0.45568
1.0638,0.45593
1.0655,0.45455
1.0673,0.45338
1.069,0.45463
1.0708,0.45609
1.0726,0.45699
1.0744,0.45769
1.0761,0.45784
1.0779,0.45816
1.0797,0.45927
1.0815,0.46086
1.0833,0.46238
1.0851,0.46332
1.087,0.46341
1.0888,0.46436
1.0906,0.46573
1.0925,0.46676
1.0943,0.46733
1.0962,0.46841
1.098,0.46989
1.0999,0.47154
1.1018,0.47319
1.1036,0.47489
1.1055,0.47626
1.1074,0.47737
1.1093,0.47802
1.1112,0.47902
1.1131,0.48071
1.115,0.48275
1.117,0.48462
1.1189,0.48627
1.1208,0.48795
1.1228,0.4893
1.1247,0.48967
1.1267,0.48962
1.1286,0.49016
1.1306,0.49139
1.1326,0.49257
1.1346,0.49336
1.1366,0.49436
1.1385,0.49609
1.1406,0.49746
1.1426,0.49867
1.1446,0.5
1.1466,0.50098
1.1486,0.50158
1.1507,0.50255
1.1527,0.50365
1.1548,0.50498
1.1568,0.50649
1.1589,0.50762
1.161,0.50827
1.1631,0.50897
1.1652,0.50966
1.1673,0.51039
1.1694,0.51123
1.1715,0.51182
1.1736,0.51191
1.1757,0.51168
1.1779,0.51164
1.18,0.51241
1.1822,0.5137
1.1843,0.51491
1.1865,0.51546
1.1887,0.51625
1.1909,0.51788
1.1931,0.51907
1.1953,0.51922
1.1975,0.51959
1.1997,0.5206
1.2019,0.5219
1.2042,0.52236
1.2064,0.52275
1.2086,0.52332
1.2109,0.52389
1.2132,0.52427
1.2154,0.52491
1.2177,0.5261
1.22,0.52727
1.2223,0.52811
1.2246,0.52921
1.227,0.52912
1.2293,0.5293
1.2316,0.53047
1.234,0.53179
1.2363,0.53242
1.2387,0.53271
1.2411,0.53272
1.2434,0.53251
1.2458,0.53296
1.2482,0.53438
1.2506,0.53574
1.2531,0.53676
1.2555,0.53777
1.2579,0.53885
1.2604,0.53997
1.2628,0.54102
1.2653,0.54156
1.2678,0.54246
1.2703,0.54414
1.2728,0.54596
1.2753,0.54698
1.2778,0.54741
1.2803,0.54791
1.2828,0.5489
1.2854,0.54973
1.2879,0.55066
1.2905,0.55194
1.2931,0.5535
1.2957,0.5551
1.2983,0.55675
1.3009,0.55817
1.3035,0.55941
1.3061,0.56082
1.3088,0.56249
1.3114,0.56399
1.3141,0.5651
1.3167,0.56646
1.3194,0.56875
1.3221,0.57151
1.3248,0.57374
1.3275,0.57513
1.3303,0.57658
1.333,0.5784
1.3357,0.58034
1.3385,0.58238
1.3413,0.58465
1.3441,0.58684
1.3468,0.58859
1.3497,0.59006
1.3525,0.59215
1.3553,0.59479
1.3581,0.59718
1.361,0.59904
1.3639,0.60059
1.3667,0.6022
1.3696,0.60427
1.3725,0.60691
1.3754,0.60992
1.3784,0.61311
1.3813,0.61601
1.3843,0.61811
1.3872,0.61955
1.3902,0.62114
1.3932,0.62352
1.3962,0.62636
1.3992,0.62925
1.4022,0.63208
1.4053,0.6347
1.4083,0.6371
1.4114,0.63955
1.4145,0.64213
1.4176,0.64515
1.4207,0.64855
1.4238,0.65168
1.4269,0.65457
1.4301,0.65773
1.4333,0.66081
1.4364,0.66361
1.4396,0.6665
1.4428,0.66967
1.4461,0.6726
1.4493,0.67528
1.4525,0.67793
1.4558,0.68064
1.4591,0.68363
1.4624,0.68706
1.4657,0.69072
1.469,0.69427
1.4724,0.69727
1.4757,0.6997
1.4791,0.70206
1.4825,0.70464
1.4859,0.70755
1.4893,0.7106
1.4927,0.7134
1.4962,0.71613
1.4996,0.71906
1.5031,0.72233
1.5066,0.72596
1.5101,0.72986
1.5136,0.73344
1.5172,0.73639
1.5207,0.73924
1.5243,0.74217
1.5279,0.74457
1.5315,0.74647
1.5352,0.74897
1.5388,0.7523
1.5425,0.75529
1.5461,0.75762
1.5498,0.76002
1.5536,0.76272
1.5573,0.76561
1.561,0.76869
1.5648,0.77171
1.5686,0.77407
1.5724,0.77576
1.5762,0.77751
1.5801,0.7799
1.5839,0.78278
1.5878,0.78542
1.5917,0.78757
1.5957,0.78958
1.5996,0.79173
1.6036,0.79369
1.6075,0.79544
1.6115,0.7973
1.6155,0.79953
1.6196,0.80166
1.6236,0.80327
1.6277,0.80456
1.6318,0.80578
1.6359,0.80687
1.6401,0.80787
