BRU_LE2CPX,
W,R
1.118,0.536691
1.119,0.537451
1.12,0.538266
1.121,0.539522
1.122,0.541189
1.123,0.542585
1.124,0.543911
1.125,0.545247
1.126,0.545966
1.127,0.547344
1.128,0.548242
1.129,0.550068
1.13,0.551426
1.131,0.55289
1.132,0.55413
1.133,0.555006
1.134,0.556444
1.135,0.556821
1.136,0.55803
1.137,0.559378
1.138,0.560765
1.139,0.562408
1.14,0.563407
1.141,0.564862
1.142,0.564835
1.143,0.566582
1.144,0.567672
1.145,0.56885
1.146,0.570399
1.147,0.571708
1.148,0.572397
1.149,0.57324
1.15,0.574685
1.151,0.575738
1.152,0.576781
1.153,0.577522
1.154,0.578306
1.155,0.579939
1.156,0.581643
1.157,0.582264
1.158,0.583427
1.159,0.585241
1.16,0.586148
1.161,0.58729
1.162,0.588073
1.163,0.589326
1.164,0.590666
1.165,0.59191
1.166,0.591901
1.167,0.59306
1.168,0.594595
1.169,0.595424
1.17,0.596304
1.171,0.597892
1.172,0.59867
1.173,0.599115
1.174,0.599941
1.175,0.601123
1.176,0.602016
1.177,0.603285
1.178,0.604045
1.179,0.604716
1.18,0.605596
1.181,0.606356
1.182,0.60694
1.183,0.607809
1.184,0.608609
1.185,0.609095
1.186,0.61046
1.187,0.611588
1.188,0.612166
1.189,0.613094
1.19,0.614527
1.191,0.615645
1.192,0.61701
1.193,0.617719
1.194,0.618158
1.195,0.618802
1.196,0.619703
1.197,0.620826
1.198,0.62148
1.199,0.622579
1.2,0.623681
1.201,0.624592
1.202,0.624954
1.203,0.625563
1.204,0.626418
1.205,0.627179
1.206,0.628029
1.207,0.628995
1.208,0.629568
1.209,0.63041
1.21,0.631452
1.211,0.631787
1.212,0.632433
1.213,0.633725
1.214,0.634644
1.215,0.635591
1.216,0.636517
1.217,0.636826
1.218,0.637541
1.219,0.638544
1.22,0.639485
1.221,0.639946
1.222,0.640832
1.223,0.641228
1.224,0.641792
1.225,0.6432
1.226,0.644225
1.227,0.644584
1.228,0.645595
1.229,0.64555
1.23,0.646162
1.231,0.647272
1.232,0.64784
1.233,0.648666
1.234,0.649509
1.235,0.649832
1.236,0.6507
1.237,0.65148
1.238,0.651831
1.239,0.652408
1.24,0.652896
1.241,0.653859
1.242,0.654343
1.243,0.655523
1.244,0.655679
1.245,0.656891
1.246,0.657442
1.247,0.658268
1.248,0.659216
1.249,0.660212
1.25,0.660352
1.251,0.660758
1.252,0.661504
1.253,0.662054
1.254,0.66302
1.255,0.6635
1.256,0.663576
1.257,0.664628
1.258,0.66515
1.259,0.666155
1.26,0.666582
1.261,0.66721
1.262,0.667266
1.263,0.668392
1.264,0.668844
1.265,0.669591
1.266,0.670202
1.267,0.670686
1.268,0.671668
1.269,0.672446
1.27,0.673169
1.271,0.67361
1.272,0.674275
1.273,0.67459
1.274,0.674527
1.275,0.675495
1.276,0.676075
1.277,0.677088
1.278,0.676755
1.279,0.677633
1.28,0.678321
1.281,0.678793
1.282,0.679755
1.283,0.679907
1.284,0.681465
1.285,0.682221
1.286,0.682999
1.287,0.682536
1.288,0.683927
1.289,0.684052
1.29,0.684834
1.291,0.685279
1.292,0.686506
1.293,0.685485
1.294,0.686376
1.295,0.687235
1.296,0.687396
1.297,0.688603
1.298,0.688819
1.299,0.689855
1.3,0.689885
1.301,0.690505
1.302,0.690822
1.303,0.691206
1.304,0.692389
1.305,0.693371
1.306,0.693773
1.307,0.694236
1.308,0.694168
1.309,0.694359
1.31,0.695317
1.311,0.696531
1.312,0.695896
1.313,0.696958
1.314,0.69733
1.315,0.698261
1.316,0.698969
1.317,0.69958
1.318,0.6998
1.319,0.700173
1.32,0.700299
1.321,0.70082
1.322,0.701916
1.323,0.700986
1.324,0.702722
1.325,0.703955
1.326,0.703798
1.327,0.703867
1.328,0.705238
1.329,0.70496
1.33,0.706168
1.331,0.706191
1.332,0.706733
1.333,0.70735
1.334,0.707488
1.335,0.707981
1.336,0.707788
1.337,0.70917
1.338,0.708754
1.339,0.709827
1.34,0.710453
1.341,0.711407
1.342,0.710892
1.343,0.711836
1.344,0.71255
1.345,0.71283
1.346,0.713227
1.347,0.714
1.348,0.71443
1.349,0.714971
1.35,0.71552
1.351,0.716719
1.352,0.717902
1.353,0.719273
1.354,0.719264
1.355,0.719098
1.356,0.719928
1.357,0.721122
1.358,0.721651
1.359,0.722038
1.36,0.722485
1.361,0.723124
1.362,0.723787
1.363,0.724632
1.364,0.72478
1.365,0.725357
1.366,0.725674
1.367,0.725793
1.368,0.726235
1.369,0.726038
1.37,0.726475
1.371,0.726697
1.372,0.726532
1.373,0.726834
1.374,0.727271
1.375,0.727133
1.376,0.727481
1.377,0.727712
1.378,0.728164
1.379,0.72816
1.38,0.728377
1.381,0.728824
1.382,0.72903
1.383,0.729369
1.384,0.729516
1.385,0.730002
1.386,0.729936
1.387,0.72993
1.388,0.729839
1.389,0.730053
1.39,0.730292
1.391,0.730404
