KC_OL_arm_1,
W,R
0.70528,0.55525
0.70566,0.55521
0.70605,0.55634
0.70643,0.55718
0.70682,0.55713
0.7072,0.55674
0.70759,0.55641
0.70797,0.55579
0.70836,0.55532
0.70875,0.55572
0.70914,0.5559
0.70952,0.556
0.70991,0.55628
0.7103,0.55667
0.71069,0.55644
0.71108,0.55546
0.71147,0.55533
0.71186,0.55543
0.71225,0.55574
0.71265,0.55607
0.71304,0.55591
0.71343,0.55558
0.71382,0.55505
0.71422,0.55486
0.71461,0.5547
0.715,0.55503
0.7154,0.55584
0.71579,0.55615
0.71619,0.55624
0.71658,0.55602
0.71698,0.55544
0.71738,0.55502
0.71777,0.55457
0.71817,0.55359
0.71857,0.55317
0.71897,0.55433
0.71937,0.55566
0.71977,0.55555
0.72017,0.55512
0.72057,0.55509
0.72097,0.55444
0.72137,0.55412
0.72177,0.55418
0.72217,0.55347
0.72258,0.5531
0.72298,0.55336
0.72338,0.55378
0.72379,0.55435
0.72419,0.55462
0.7246,0.55426
0.725,0.55388
0.72541,0.55403
0.72581,0.55389
0.72622,0.55327
0.72663,0.55337
0.72703,0.55368
0.72744,0.5529
0.72785,0.552
0.72826,0.55213
0.72867,0.55273
0.72908,0.55289
0.72949,0.5527
0.7299,0.55267
0.73031,0.55216
0.73072,0.55108
0.73113,0.5506
0.73155,0.55107
0.73196,0.55123
0.73237,0.55086
0.73279,0.55086
0.7332,0.55117
0.73362,0.55097
0.73403,0.55012
0.73445,0.54957
0.73486,0.54983
0.73528,0.55026
0.7357,0.5506
0.73612,0.55076
0.73653,0.55078
0.73695,0.55018
0.73737,0.54879
0.73779,0.54821
0.73821,0.54867
0.73863,0.54938
0.73905,0.54967
0.73948,0.54946
0.7399,0.5496
0.74032,0.54959
0.74074,0.54925
0.74117,0.54914
0.74159,0.54914
0.74202,0.54874
0.74244,0.54752
0.74287,0.54699
0.74329,0.54762
0.74372,0.5479
0.74415,0.54767
0.74457,0.54766
0.745,0.5476
0.74543,0.54636
0.74586,0.54565
0.74629,0.54645
0.74672,0.54668
0.74715,0.54619
0.74758,0.54592
0.74801,0.54548
0.74844,0.54514
0.74887,0.54519
0.74931,0.54505
0.74974,0.54482
0.75017,0.54473
0.75061,0.54449
0.75104,0.54379
0.75148,0.54259
0.75191,0.54242
0.75235,0.54325
0.75279,0.54384
0.75323,0.54378
0.75366,0.54281
0.7541,0.5421
0.75454,0.54162
0.75498,0.54107
0.75542,0.54157
0.75586,0.54216
0.7563,0.54202
0.75674,0.5416
0.75719,0.54126
0.75763,0.54092
0.75807,0.53998
