KC-OL-hevn_3,
W,R
1.1909,0.52247
1.1931,0.52214
1.1953,0.52238
1.1975,0.52327
1.1997,0.52425
1.2019,0.52471
1.2042,0.52457
1.2064,0.52444
1.2086,0.5245
1.2109,0.52474
1.2132,0.52564
1.2154,0.52704
1.2177,0.52819
1.22,0.52881
1.2223,0.52941
1.2246,0.53025
1.227,0.53088
1.2293,0.53131
1.2316,0.53215
1.234,0.53344
1.2363,0.53482
1.2387,0.53615
1.2411,0.53725
1.2434,0.5379
1.2458,0.53847
1.2482,0.53942
1.2506,0.54068
1.2531,0.54198
1.2555,0.54328
1.2579,0.54439
1.2604,0.54513
1.2628,0.54593
1.2653,0.54702
1.2678,0.54839
1.2703,0.54968
1.2728,0.55054
1.2753,0.55161
1.2778,0.55342
1.2803,0.55535
1.2828,0.55681
1.2854,0.55763
1.2879,0.55817
1.2905,0.55908
1.2931,0.5603
1.2957,0.56168
1.2983,0.56339
1.3009,0.5651
1.3035,0.56626
1.3061,0.56668
1.3088,0.56706
1.3114,0.56834
1.3141,0.5702
1.3167,0.5718
1.3194,0.57296
1.3221,0.57415
1.3248,0.57586
1.3275,0.57787
1.3303,0.57963
1.333,0.58105
1.3357,0.58277
1.3385,0.58491
1.3413,0.58676
1.3441,0.58827
1.3468,0.58998
1.3497,0.59177
1.3525,0.59344
1.3553,0.595
1.3581,0.5965
1.361,0.59805
1.3639,0.59993
1.3667,0.6025
1.3696,0.60592
1.3725,0.60959
1.3754,0.61188
1.3784,0.61267
1.3813,0.61408
1.3843,0.61724
1.3872,0.62099
1.3902,0.62419
1.3932,0.6272
1.3962,0.63056
1.3992,0.63389
1.4022,0.63673
1.4053,0.63943
1.4083,0.64221
1.4114,0.64467
1.4145,0.64733
1.4176,0.6509
1.4207,0.65462
1.4238,0.65767
1.4269,0.66008
1.4301,0.66218
1.4333,0.6643
1.4364,0.66686
1.4396,0.67005
1.4428,0.67326
1.4461,0.67612
1.4493,0.67895
1.4525,0.68179
1.4558,0.68424
1.4591,0.68667
1.4624,0.68965
1.4657,0.69281
1.469,0.69582
1.4724,0.69903
1.4757,0.70237
1.4791,0.70547
1.4825,0.70845
1.4859,0.71165
1.4893,0.71504
1.4927,0.71826
1.4962,0.72116
1.4996,0.72416
1.5031,0.7278
1.5066,0.73178
1.5101,0.735
1.5136,0.73714
1.5172,0.73931
1.5207,0.74234
1.5243,0.7461
1.5279,0.7497
1.5315,0.75246
1.5352,0.75488
1.5388,0.75743
1.5425,0.76031
1.5461,0.76378
1.5498,0.76739
1.5536,0.77041
1.5573,0.77289
1.561,0.77536
1.5648,0.77793
1.5686,0.78022
1.5724,0.78236
1.5762,0.78445
1.5801,0.78604
1.5839,0.78739
1.5878,0.78927
1.5917,0.79148
1.5957,0.79336
1.5996,0.79506
1.6036,0.79699
1.6075,0.79914
1.6115,0.80082
1.6155,0.80173
1.6196,0.80255
1.6236,0.80411
1.6277,0.80579
1.6318,0.80694
1.6359,0.80821
1.6401,0.8098
1.6443,0.81117
1.6484,0.8126
1.6526,0.81423
1.6569,0.81539
1.6611,0.8156
1.6654,0.81591
1.6697,0.81726
1.674,0.81911
1.6783,0.82053
1.6827,0.82138
1.6871,0.82202
1.6915,0.82304
1.6959,0.82444
1.7004,0.82597
1.7048,0.82766
1.7093,0.82918
1.7138,0.83032
1.7184,0.83123
1.723,0.83165
1.7276,0.83162
1.7322,0.83206
1.7368,0.83352
1.7415,0.83536
1.7462,0.8371
1.7509,0.83849
1.7556,0.83889
1.7604,0.83819
1.7652,0.83721
1.77,0.83678
1.7749,0.83664
1.7798,0.83661
1.7847,0.83713
1.7896,0.83818
1.7946,0.83879
1.7995,0.83866
1.8046,0.83813
1.8096,0.8376
1.8147,0.83712
1.8198,0.83642
1.8249,0.83507
1.83,0.83271
1.8352,0.83032
1.8404,0.82966
1.8457,0.83041
1.851,0.83132
1.8563,0.83195
1.8616,0.83199
1.867,0.83111
1.8724,0.83123
1.8778,0.8334
1.8832,0.83543
1.8887,0.83583
1.8943,0.83474
1.8998,0.83351
1.9054,0.83379
1.911,0.83514
1.9167,0.83626
1.9224,0.83671
1.9281,0.83646
1.9338,0.83607
1.9396,0.83684
1.9454,0.83827
1.9513,0.8386
1.9572,0.83754
1.9631,0.83651
1.9691,0.83628
1.9751,0.83667
1.9811,0.83723
1.9872,0.83721
1.9933,0.83669
1.9995,0.83557
2.0057,0.83513
2.0119,0.83472
2.0182,0.83434
2.0245,0.83426
2.0308,0.83458
2.0372,0.83464
2.0436,0.83464
2.0501,0.83543
2.0566,0.83665
2.0632,0.83719
2.0698,0.83701
2.0764,0.83754
2.0831,0.8391
2.0898,0.84082
2.0966,0.84182
2.1034,0.84291
2.1102,0.84441
2.1171,0.84523
2.124,0.84405
2.131,0.84196
2.1381,0.84018
2.1451,0.83961
